ticker,coin,date,side,bid,ask,won,vol,ml
KXBTC15M-26MAY242000-00,BTC,2026-05-25,no,0.7,0.71,1,43961.35,13.0
KXBTC15M-26MAY250200-00,BTC,2026-05-25,no,0.74,0.75,1,29967.89,13.0
KXBTC15M-26MAY250500-00,BTC,2026-05-25,no,0.6599999999999999,0.6699999999999999,0,9585.51,12.0
KXBTC15M-26MAY250800-00,BTC,2026-05-25,no,0.6699999999999999,0.6799999999999999,1,11124.93,12.0
KXBTC15M-26MAY251700-00,BTC,2026-05-25,yes,0.79,0.81,1,22168.94,11.0
KXBTC15M-26MAY252000-00,BTC,2026-05-26,no,0.6799999999999999,0.69,1,40783.26,11.0
KXBTC15M-26MAY252300-00,BTC,2026-05-26,no,0.76,0.77,0,69235.27,13.0
KXBTC15M-26MAY260200-00,BTC,2026-05-26,no,0.6699999999999999,0.6799999999999999,1,19704.16,14.0
KXBTC15M-26MAY260500-00,BTC,2026-05-26,no,0.7,0.71,1,30682.54,11.0
KXBTC15M-26MAY260800-00,BTC,2026-05-26,yes,0.65,0.66,0,13103.63,12.0
KXBTC15M-26MAY261100-00,BTC,2026-05-26,yes,0.66,0.67,1,22627.79,12.0
KXBTC15M-26MAY261400-00,BTC,2026-05-26,yes,0.74,0.75,0,21945.58,8.0
KXBTC15M-26MAY261700-00,BTC,2026-05-26,yes,0.68,0.69,1,22217.55,11.0
KXBTC15M-26MAY262300-00,BTC,2026-05-27,yes,0.73,0.74,1,29505.78,13.0
KXBTC15M-26MAY270200-00,BTC,2026-05-27,yes,0.75,0.77,1,42576.42,13.0
KXBTC15M-26MAY270800-00,BTC,2026-05-27,no,0.6699999999999999,0.6799999999999999,1,15716.91,12.0
KXBTC15M-26MAY271100-00,BTC,2026-05-27,yes,0.68,0.69,0,28657.43,13.0
KXBTC15M-26MAY271400-00,BTC,2026-05-27,yes,0.66,0.67,0,26812.48,8.0
KXBTC15M-26MAY271700-00,BTC,2026-05-27,yes,0.7,0.71,1,27816.35,11.0
KXBTC15M-26MAY272000-00,BTC,2026-05-28,yes,0.71,0.73,1,44688.82,14.0
KXBTC15M-26MAY272300-00,BTC,2026-05-28,yes,0.74,0.75,1,41723.32,11.0
KXBTC15M-26MAY280200-00,BTC,2026-05-28,no,0.77,0.78,1,44108.25,11.0
KXBTC15M-26MAY280800-00,BTC,2026-05-28,no,0.65,0.6599999999999999,0,19153.32,9.0
KXBTC15M-26MAY281100-00,BTC,2026-05-28,no,0.6799999999999999,0.69,0,44904.22,13.0
KXBTC15M-26MAY281700-00,BTC,2026-05-28,no,0.75,0.76,1,31980.96,14.0
KXBTC15M-26MAY282000-00,BTC,2026-05-29,no,0.6699999999999999,0.6799999999999999,0,38601.75,13.0
KXBTC15M-26MAY282300-00,BTC,2026-05-29,yes,0.67,0.68,0,23006.54,14.0
KXBTC15M-26MAY290500-00,BTC,2026-05-29,no,0.6799999999999999,0.69,1,16334.2,11.0
KXBTC15M-26MAY290800-00,BTC,2026-05-29,no,0.79,0.8,1,30731.32,10.0
KXBTC15M-26MAY291400-00,BTC,2026-05-29,no,0.79,0.8,1,64336.74,14.0
KXBTC15M-26MAY291700-00,BTC,2026-05-29,yes,0.68,0.69,0,34005.38,14.0
KXBTC15M-26MAY292000-00,BTC,2026-05-30,yes,0.68,0.69,1,40744.63,10.0
KXBTC15M-26MAY292300-00,BTC,2026-05-30,no,0.72,0.73,0,31413.42,10.0
KXBTC15M-26MAY300500-00,BTC,2026-05-30,no,0.69,0.7,1,17658.05,12.0
KXBTC15M-26MAY300800-00,BTC,2026-05-30,no,0.73,0.74,1,21232.26,11.0
KXBTC15M-26MAY301100-00,BTC,2026-05-30,no,0.69,0.7,1,25044.86,13.0
KXBTC15M-26MAY301400-00,BTC,2026-05-30,yes,0.74,0.75,1,32890.03,13.0
KXBTC15M-26MAY301700-00,BTC,2026-05-30,yes,0.72,0.74,1,28777.97,8.0
KXBTC15M-26MAY302000-00,BTC,2026-05-31,yes,0.67,0.68,1,37220.43,13.0
KXBTC15M-26MAY302300-00,BTC,2026-05-31,yes,0.75,0.76,1,31386.12,8.0
KXBTC15M-26MAY310500-00,BTC,2026-05-31,no,0.6799999999999999,0.69,0,28582.28,13.0
KXBTC15M-26MAY310800-00,BTC,2026-05-31,no,0.73,0.74,0,16083.86,11.0
KXBTC15M-26MAY311100-00,BTC,2026-05-31,yes,0.66,0.67,0,15821.42,14.0
KXBTC15M-26MAY311400-00,BTC,2026-05-31,yes,0.7,0.71,0,26661.48,13.0
KXBTC15M-26MAY311700-00,BTC,2026-05-31,yes,0.68,0.69,1,20047.94,11.0
KXBTC15M-26MAY312000-00,BTC,2026-06-01,yes,0.65,0.66,1,36334.75,13.0
KXBTC15M-26MAY312300-00,BTC,2026-06-01,yes,0.66,0.67,1,42101.98,14.0
KXBTC15M-26JUN010200-00,BTC,2026-06-01,yes,0.71,0.72,0,39486.0,12.0
KXBTC15M-26JUN010500-00,BTC,2026-06-01,yes,0.68,0.69,1,54732.09,13.0
KXBTC15M-26JUN010800-00,BTC,2026-06-01,yes,0.69,0.7,0,18785.12,12.0
KXBTC15M-26JUN011100-00,BTC,2026-06-01,yes,0.65,0.66,1,26246.88,13.0
KXBTC15M-26JUN011400-00,BTC,2026-06-01,yes,0.78,0.79,0,35135.63,9.0
KXBTC15M-26JUN011700-00,BTC,2026-06-01,no,0.73,0.74,1,29458.89,9.0
KXBTC15M-26JUN012000-00,BTC,2026-06-02,no,0.65,0.6599999999999999,1,23722.56,14.0
KXBTC15M-26JUN012300-00,BTC,2026-06-02,yes,0.72,0.73,1,29863.3,14.0
KXBTC15M-26JUN020200-00,BTC,2026-06-02,no,0.72,0.73,1,61688.2,14.0
KXBTC15M-26JUN020500-00,BTC,2026-06-02,no,0.77,0.78,1,35805.2,11.0
KXBTC15M-26JUN020800-00,BTC,2026-06-02,yes,0.75,0.76,1,17174.83,11.0
KXBTC15M-26JUN021100-00,BTC,2026-06-02,yes,0.71,0.72,1,58737.02,14.0
KXBTC15M-26JUN021400-00,BTC,2026-06-02,no,0.69,0.71,0,23764.76,11.0
KXBTC15M-26JUN021700-00,BTC,2026-06-02,yes,0.68,0.69,1,33176.96,14.0
KXBTC15M-26JUN022000-00,BTC,2026-06-03,yes,0.68,0.69,1,31459.91,12.0
KXBTC15M-26JUN022300-00,BTC,2026-06-03,no,0.6799999999999999,0.69,1,44627.4,13.0
KXBTC15M-26JUN030200-00,BTC,2026-06-03,yes,0.65,0.66,1,22531.16,11.0
KXBTC15M-26JUN030500-00,BTC,2026-06-03,no,0.79,0.81,1,38379.96,8.0
KXBTC15M-26JUN030800-00,BTC,2026-06-03,no,0.6699999999999999,0.6799999999999999,1,11939.19,13.0
KXBTC15M-26JUN031100-00,BTC,2026-06-03,yes,0.65,0.66,1,40245.68,13.0
KXBTC15M-26JUN031400-00,BTC,2026-06-03,no,0.78,0.79,1,33539.71,13.0
KXBTC15M-26JUN031700-00,BTC,2026-06-03,no,0.6699999999999999,0.6799999999999999,1,55768.83,14.0
KXBTC15M-26JUN032000-00,BTC,2026-06-04,no,0.69,0.7,1,41340.39,8.0
KXBTC15M-26JUN032300-00,BTC,2026-06-04,yes,0.7,0.72,0,51071.77,11.0
KXBTC15M-26JUN040200-00,BTC,2026-06-04,no,0.6799999999999999,0.69,1,51538.62,13.0
KXBTC15M-26JUN040800-00,BTC,2026-06-04,yes,0.69,0.7,1,21699.83,14.0
KXBTC15M-26JUN041100-00,BTC,2026-06-04,no,0.6699999999999999,0.6799999999999999,1,16731.31,10.0
KXBTC15M-26JUN041400-00,BTC,2026-06-04,yes,0.69,0.7,1,27757.84,13.0
KXBTC15M-26JUN041700-00,BTC,2026-06-04,no,0.73,0.74,0,51140.65,11.0
KXBTC15M-26JUN042000-00,BTC,2026-06-05,no,0.6699999999999999,0.6799999999999999,0,27884.57,13.0
KXBTC15M-26JUN050200-00,BTC,2026-06-05,no,0.6599999999999999,0.6699999999999999,1,37202.88,14.0
KXBTC15M-26JUN050500-00,BTC,2026-06-05,no,0.77,0.78,1,10180.7,8.0
KXBTC15M-26JUN050800-00,BTC,2026-06-05,no,0.73,0.74,1,29728.08,14.0
KXBTC15M-26JUN051400-00,BTC,2026-06-05,no,0.72,0.73,1,28542.99,13.0
KXBTC15M-26JUN051700-00,BTC,2026-06-05,yes,0.66,0.67,1,34323.4,11.0
KXBTC15M-26JUN052300-00,BTC,2026-06-06,yes,0.65,0.66,1,27837.61,13.0
KXBTC15M-26JUN060200-00,BTC,2026-06-06,yes,0.7,0.71,1,42855.95,11.0
KXBTC15M-26JUN060500-00,BTC,2026-06-06,yes,0.69,0.7,0,20293.38,8.0
KXBTC15M-26JUN060800-00,BTC,2026-06-06,yes,0.73,0.75,0,17860.97,11.0
KXBTC15M-26JUN061100-00,BTC,2026-06-06,no,0.65,0.6599999999999999,1,37691.6,13.0
KXBTC15M-26JUN061400-00,BTC,2026-06-06,no,0.73,0.74,1,56003.95,13.0
KXBTC15M-26JUN061700-00,BTC,2026-06-06,no,0.78,0.79,1,57018.17,11.0
KXBTC15M-26JUN062000-00,BTC,2026-06-07,no,0.72,0.73,0,64094.78,13.0
KXBTC15M-26JUN062300-00,BTC,2026-06-07,yes,0.72,0.73,1,47074.72,14.0
KXBTC15M-26JUN070200-00,BTC,2026-06-07,no,0.6699999999999999,0.6799999999999999,1,29204.96,10.0
KXBTC15M-26JUN070500-00,BTC,2026-06-07,yes,0.73,0.74,1,18424.51,14.0
KXBTC15M-26JUN070800-00,BTC,2026-06-07,yes,0.7,0.71,0,18702.65,12.0
KXBTC15M-26JUN071100-00,BTC,2026-06-07,no,0.65,0.6599999999999999,1,24779.73,14.0
KXBTC15M-26JUN071400-00,BTC,2026-06-07,no,0.69,0.7,1,41932.36,12.0
KXBTC15M-26JUN071700-00,BTC,2026-06-07,yes,0.66,0.67,1,28805.12,10.0
KXBTC15M-26JUN072000-00,BTC,2026-06-08,yes,0.7,0.71,1,67615.71,12.0
KXBTC15M-26JUN072300-00,BTC,2026-06-08,no,0.73,0.74,0,37161.72,11.0
KXBTC15M-26JUN080200-00,BTC,2026-06-08,yes,0.72,0.73,1,20855.82,11.0
KXBTC15M-26JUN080500-00,BTC,2026-06-08,no,0.69,0.7,1,23604.85,13.0
KXBTC15M-26JUN080800-00,BTC,2026-06-08,no,0.77,0.78,1,20814.14,13.0
KXBTC15M-26JUN081400-00,BTC,2026-06-08,yes,0.71,0.72,1,30006.22,13.0
KXBTC15M-26JUN081700-00,BTC,2026-06-08,yes,0.65,0.66,1,60876.9,10.0
KXBTC15M-26JUN082000-00,BTC,2026-06-09,no,0.77,0.79,1,46987.76,14.0
KXBTC15M-26JUN082300-00,BTC,2026-06-09,yes,0.76,0.77,1,36300.3,14.0
KXBTC15M-26JUN090200-00,BTC,2026-06-09,yes,0.73,0.74,0,29112.37,11.0
