coin,ts_utc,index_value,point,ret
BTC,2026-05-24 23:45:00+00:00,77116.79,window_open,
BTC,2026-05-25 00:00:00+00:00,76990.07,window_close,-0.0016432219235265055
BTC,2026-05-25 00:15:00+00:00,77105.49,window_close,0.0014991543714664157
BTC,2026-05-25 00:30:00+00:00,77124.37,window_close,0.0002448593478880934
BTC,2026-05-25 00:45:00+00:00,77046.16,window_close,-0.0010140763548537324
BTC,2026-05-25 01:00:00+00:00,77052.16,window_close,7.787539314096925e-05
BTC,2026-05-25 01:15:00+00:00,77069.06,window_close,0.00021933194345225004
BTC,2026-05-25 01:30:00+00:00,77082.5,window_close,0.00017438904795263888
BTC,2026-05-25 01:45:00+00:00,77077.96,window_close,-5.889793403168753e-05
BTC,2026-05-25 02:00:00+00:00,76849.62,window_close,-0.0029624551557930756
BTC,2026-05-25 02:15:00+00:00,77308.28,window_close,0.005968279348681271
BTC,2026-05-25 02:30:00+00:00,77026.19,window_close,-0.003648897634250803
BTC,2026-05-25 02:45:00+00:00,77063.78,window_close,0.0004880158294211512
BTC,2026-05-25 03:00:00+00:00,77022.77,window_close,-0.0005321566110564335
BTC,2026-05-25 03:15:00+00:00,77000.53,window_close,-0.00028874578257842565
BTC,2026-05-25 03:30:00+00:00,76999.38,window_close,-1.493496213589296e-05
BTC,2026-05-25 03:45:00+00:00,76996.85,window_close,-3.2857407423314555e-05
BTC,2026-05-25 04:00:00+00:00,76947.6,window_close,-0.0006396365565604079
BTC,2026-05-25 04:15:00+00:00,76950.43,window_close,3.6778275085636025e-05
BTC,2026-05-25 04:30:00+00:00,77074.09,window_close,0.0016070085638248965
BTC,2026-05-25 04:45:00+00:00,77152.27,window_close,0.0010143486611389196
BTC,2026-05-25 05:00:00+00:00,77304.91,window_close,0.0019784252621470877
BTC,2026-05-25 05:15:00+00:00,77320.83,window_close,0.00020593775996902153
BTC,2026-05-25 05:30:00+00:00,77316.88,window_close,-5.108584581925424e-05
BTC,2026-05-25 05:45:00+00:00,77377.07,window_close,0.00077848459482599
BTC,2026-05-25 06:00:00+00:00,77317.48,window_close,-0.0007701247927843768
BTC,2026-05-25 06:15:00+00:00,77283.8,window_close,-0.0004356065407200571
BTC,2026-05-25 06:30:00+00:00,77187.68,window_close,-0.001243727663494898
BTC,2026-05-25 06:45:00+00:00,77328.95,window_close,0.0018302143554516093
BTC,2026-05-25 07:00:00+00:00,77334.82,window_close,7.590947504154677e-05
BTC,2026-05-25 07:15:00+00:00,77235.25,window_close,-0.0012875183520180133
BTC,2026-05-25 07:30:00+00:00,77136.13,window_close,-0.0012833518374057995
BTC,2026-05-25 07:45:00+00:00,77241.86,window_close,0.0013706936036328443
BTC,2026-05-25 08:00:00+00:00,77308.53,window_close,0.0008631330213952904
BTC,2026-05-25 08:15:00+00:00,77224.5,window_close,-0.0010869434459560567
BTC,2026-05-25 08:30:00+00:00,77238.21,window_close,0.00017753433172118527
BTC,2026-05-25 08:45:00+00:00,77269.56,window_close,0.0004058871897729688
BTC,2026-05-25 09:00:00+00:00,77362.28,window_close,0.0011999550663934766
BTC,2026-05-25 09:15:00+00:00,77388.32,window_close,0.00033659814576303404
BTC,2026-05-25 09:30:00+00:00,77447.5,window_close,0.000764714882038886
BTC,2026-05-25 09:45:00+00:00,77510.64,window_close,0.000815261951644608
BTC,2026-05-25 10:00:00+00:00,77538.63,window_close,0.0003611117131789854
BTC,2026-05-25 10:15:00+00:00,77556.34,window_close,0.00022840228154663578
BTC,2026-05-25 10:30:00+00:00,77466.54,window_close,-0.001157867944774127
