action,book_side,count_fp,created_time,fee_cost,fill_id,is_taker,market_ticker,no_price_dollars,order_id,outcome_side,side,subaccount_number,ticker,trade_id,ts,yes_price_dollars
sell,ask,20.00,2026-08-05T23:01:06.658536Z,0.000000,c4900f62-152d-5d4e-8a8b-85801750a983,False,KXSOL15M-26AUG051915-15,0.7900,4f5004c8-8de0-4824-bb91-2ed5f15aa607,no,no,0,KXSOL15M-26AUG051915-15,c4900f62-152d-5d4e-8a8b-85801750a983,1785970866,0.2100
sell,ask,20.00,2026-08-05T23:01:05.712328Z,0.000000,abcf872d-0efe-7b12-2fd8-83435a69e2ae,False,KXBTC15M-26AUG051915-15,0.6600,28ea79da-a3e3-4308-9f1b-ec8fa49f59be,no,no,0,KXBTC15M-26AUG051915-15,abcf872d-0efe-7b12-2fd8-83435a69e2ae,1785970865,0.3400
sell,ask,20.00,2026-08-05T23:01:05.28601Z,0.000000,8abd2d4b-9725-66e3-e52f-6a200a4415ce,False,KXETH15M-26AUG051915-15,0.7300,05097de5-2f4c-40b5-ab38-86b44398bd62,no,no,0,KXETH15M-26AUG051915-15,8abd2d4b-9725-66e3-e52f-6a200a4415ce,1785970865,0.2700
buy,bid,20.00,2026-08-05T22:47:34.785699Z,0.000000,3ed38549-7c51-6074-5ae3-e3178f924e6e,False,KXXRP15M-26AUG051900-00,0.3500,9b061596-09f8-400a-87bc-7ce4680497a2,yes,yes,0,KXXRP15M-26AUG051900-00,3ed38549-7c51-6074-5ae3-e3178f924e6e,1785970054,0.6500
buy,bid,20.00,2026-08-05T22:47:26.465794Z,0.000000,d5bbf564-4a9d-656d-c7e4-45103226bea7,False,KXBTC15M-26AUG051900-00,0.2900,f6308ff7-1838-4d83-8ae3-5c117091caa3,yes,yes,0,KXBTC15M-26AUG051900-00,d5bbf564-4a9d-656d-c7e4-45103226bea7,1785970046,0.7100
buy,bid,6.34,2026-08-05T22:47:15.755529Z,0.000000,a1ba41a8-b97a-79dc-c04f-236a56c1470c,False,KXETH15M-26AUG051900-00,0.3500,685800c3-fa17-417e-b800-17560a855904,yes,yes,0,KXETH15M-26AUG051900-00,a1ba41a8-b97a-79dc-c04f-236a56c1470c,1785970035,0.6500
buy,bid,13.66,2026-08-05T22:47:14.98411Z,0.000000,7d41c188-e19a-4888-d05b-affa2007d1ec,False,KXETH15M-26AUG051900-00,0.3500,685800c3-fa17-417e-b800-17560a855904,yes,yes,0,KXETH15M-26AUG051900-00,7d41c188-e19a-4888-d05b-affa2007d1ec,1785970034,0.6500
buy,bid,3.09,2026-08-05T22:34:18.471412Z,0.000000,c67f9f20-af6d-703f-2943-7fdb8e7938b0,False,KXXRP15M-26AUG051845-45,0.3500,c36b05ad-5de0-49ed-9885-b219533a74ac,yes,yes,0,KXXRP15M-26AUG051845-45,c67f9f20-af6d-703f-2943-7fdb8e7938b0,1785969258,0.6500
buy,bid,8.92,2026-08-05T22:33:29.342112Z,0.000000,c7806d12-0059-5edb-19be-eb8c16fa6cf4,False,KXXRP15M-26AUG051845-45,0.3500,c36b05ad-5de0-49ed-9885-b219533a74ac,yes,yes,0,KXXRP15M-26AUG051845-45,c7806d12-0059-5edb-19be-eb8c16fa6cf4,1785969209,0.6500
buy,bid,1.00,2026-08-05T22:33:20.968495Z,0.000000,0309d535-85dd-5607-c801-c4e41312e29c,False,KXXRP15M-26AUG051845-45,0.3500,c36b05ad-5de0-49ed-9885-b219533a74ac,yes,yes,0,KXXRP15M-26AUG051845-45,0309d535-85dd-5607-c801-c4e41312e29c,1785969200,0.6500
