coin,wkey,ticker,day,hour,minute,secs,px,vol,frac_long,won,edge
BTC,26AUG010000,KXBTC15M-26AUG010000-00,2026-08-01,4,2,124.87806391716003,0.64,0.0,0.0,1,0.36
BTC,26AUG010015,KXBTC15M-26AUG010015-15,2026-08-01,4,2,155.2896580696106,0.71,0.0,0.0,1,0.29000000000000004
BTC,26AUG010215,KXBTC15M-26AUG010215-15,2026-08-01,6,3,195.50015497207642,0.87,0.0,0.0,1,0.13
BTC,26AUG010215,KXBTC15M-26AUG010215-15,2026-08-01,6,2,179.94393301010132,0.89,18601.96,0.4191176628699341,1,0.10999999999999999
BTC,26AUG010300,KXBTC15M-26AUG010300-00,2026-08-01,7,2,169.95794105529785,0.62,4.63,0.0,1,0.38
BTC,26AUG010400,KXBTC15M-26AUG010400-00,2026-08-01,8,2,155.6432499885559,0.908,14369.750000000005,0.7740085944431879,1,0.09199999999999997
BTC,26AUG010430,KXBTC15M-26AUG010430-30,2026-08-01,8,2,178.32871103286743,0.56,376.63,0.0,0,-0.56
BTC,26AUG010445,KXBTC15M-26AUG010445-45,2026-08-01,8,3,180.91577696800232,0.928,0.0,0.0,1,0.07199999999999995
BTC,26AUG010445,KXBTC15M-26AUG010445-45,2026-08-01,8,2,179.99521398544312,0.928,77.71000000000001,0.5269592073092266,1,0.07199999999999995
BTC,26AUG010515,KXBTC15M-26AUG010515-15,2026-08-01,9,2,175.053946018219,0.84,4417.93,0.0,1,0.16000000000000003
BTC,26AUG010530,KXBTC15M-26AUG010530-30,2026-08-01,9,2,175.5350968837738,0.9299999999999999,1.0,1.0,1,0.07000000000000006
BTC,26AUG010545,KXBTC15M-26AUG010545-45,2026-08-01,9,2,152.71283888816833,0.57,0.0,0.0,0,-0.57
BTC,26AUG010645,KXBTC15M-26AUG010645-45,2026-08-01,10,2,158.32277011871338,0.916,0.0,0.0,1,0.08399999999999996
BTC,26AUG010715,KXBTC15M-26AUG010715-15,2026-08-01,11,2,174.6137170791626,0.64,18.0,0.0,1,0.36
BTC,26AUG010830,KXBTC15M-26AUG010830-30,2026-08-01,12,3,221.15191793441772,0.946,0.0,0.0,1,0.05400000000000005
BTC,26AUG010830,KXBTC15M-26AUG010830-30,2026-08-01,12,2,179.9678189754486,0.9410000000000001,25431.81999999998,0.5583882710714378,1,0.05899999999999994
BTC,26AUG010845,KXBTC15M-26AUG010845-45,2026-08-01,12,2,159.717670917511,0.929,1830.02,0.0,1,0.07099999999999995
BTC,26AUG010915,KXBTC15M-26AUG010915-15,2026-08-01,13,2,171.78818607330322,0.85,799.69,0.0,1,0.15000000000000002
BTC,26AUG010945,KXBTC15M-26AUG010945-45,2026-08-01,13,2,152.16387391090393,0.8200000000000001,2343.790000000001,0.0,1,0.17999999999999994
BTC,26AUG011000,KXBTC15M-26AUG011000-00,2026-08-01,14,2,159.28539395332336,0.948,3532.25,0.4537476112959161,1,0.052000000000000046
BTC,26AUG011015,KXBTC15M-26AUG011015-15,2026-08-01,14,3,195.90279698371887,0.923,1.0,0.0,1,0.07699999999999996
BTC,26AUG011015,KXBTC15M-26AUG011015-15,2026-08-01,14,2,179.70021200180054,0.945,23627.17999999999,0.43556234810925415,1,0.05500000000000005
BTC,26JUL222115,KXBTC15M-26JUL222115-15,2026-07-23,1,2,139.4241509437561,0.71,738.7199999999999,0.0,1,0.29000000000000004
BTC,26JUL222215,KXBTC15M-26JUL222215-15,2026-07-23,2,2,151.68950700759888,0.8200000000000001,175.65,0.0,1,0.17999999999999994
BTC,26JUL222230,KXBTC15M-26JUL222230-30,2026-07-23,2,2,120.79184699058533,0.942,136191.44999999987,0.6027154421221017,1,0.05800000000000005
BTC,26JUL222245,KXBTC15M-26JUL222245-45,2026-07-23,2,2,138.63448691368103,0.81,37.88,0.0,1,0.18999999999999995
BTC,26JUL222345,KXBTC15M-26JUL222345-45,2026-07-23,3,2,128.4923551082611,0.914,2.01,0.0,1,0.08599999999999997
BTC,26JUL230100,KXBTC15M-26JUL230100-00,2026-07-23,5,2,156.79228591918945,0.88,11.16,0.0,1,0.12
BTC,26JUL230115,KXBTC15M-26JUL230115-15,2026-07-23,5,2,143.46876192092896,0.6,133.98,0.0,0,-0.6
BTC,26JUL230230,KXBTC15M-26JUL230230-30,2026-07-23,6,2,163.0091860294342,0.82,0.0,0.0,1,0.18000000000000005
BTC,26JUL230245,KXBTC15M-26JUL230245-45,2026-07-23,6,2,159.69884300231934,0.949,521.01,0.22264447899272566,1,0.051000000000000045
