ticker,series,coin,wkey,a0,a1,ret,result,volume,oi
KXBNB15M-26AUG051845-45,KXBNB15M,BNB,26AUG051845,593.74,593.89,0.00025263583386663733,yes,15696.78,7238.89
KXBNB15M-26AUG051830-30,KXBNB15M,BNB,26AUG051830,594.21,593.74,-0.0007909661567459775,no,23272.17,12539.19
KXBNB15M-26AUG051815-15,KXBNB15M,BNB,26AUG051815,595.21,594.21,-0.0016800792997429478,no,23005.42,12439.31
KXBNB15M-26AUG051800-00,KXBNB15M,BNB,26AUG051800,595.39,595.21,-0.00030232284720930813,no,36402.17,13044.62
KXBNB15M-26AUG051745-45,KXBNB15M,BNB,26AUG051745,595.91,595.39,-0.0008726149921967777,no,23243.73,10710.22
KXBNB15M-26AUG051730-30,KXBNB15M,BNB,26AUG051730,596.26,595.91,-0.0005869922517023157,no,21872.63,11780.61
KXBNB15M-26AUG051715-15,KXBNB15M,BNB,26AUG051715,597.07,596.26,-0.0013566248513575611,no,16109.39,8780.4
KXBNB15M-26AUG051700-00,KXBNB15M,BNB,26AUG051700,598.58,597.07,-0.0025226369073473734,no,14886.04,7999.95
KXBNB15M-26AUG051645-45,KXBNB15M,BNB,26AUG051645,598.62,598.58,-6.682035347960914e-05,no,37066.64,9398.34
KXBNB15M-26AUG051630-30,KXBNB15M,BNB,26AUG051630,598.68,598.62,-0.00010022048506705659,no,44877.06,9684.03
KXBNB15M-26AUG051615-15,KXBNB15M,BNB,26AUG051615,599.32,598.68,-0.0010678769271843089,no,16555.87,8974.6
KXBNB15M-26AUG051600-00,KXBNB15M,BNB,26AUG051600,599.85,599.32,-0.00088355422188876,no,19698.59,8970.5
KXBNB15M-26AUG051545-45,KXBNB15M,BNB,26AUG051545,599.92,599.85,-0.00011668222429646677,no,34465.61,8309.27
KXBNB15M-26AUG051530-30,KXBNB15M,BNB,26AUG051530,600.03,599.92,-0.00018332416712499983,no,32074.89,12872.97
KXBNB15M-26AUG051515-15,KXBNB15M,BNB,26AUG051515,599.56,600.03,0.0007839081993462328,yes,17204.39,5177.24
KXBNB15M-26AUG051500-00,KXBNB15M,BNB,26AUG051500,600.34,599.56,-0.0012992637505415037,no,16744.63,5871.19
KXBNB15M-26AUG051445-45,KXBNB15M,BNB,26AUG051445,600.32,600.34,3.331556503195264e-05,yes,36881.42,11048.38
KXBNB15M-26AUG051430-30,KXBNB15M,BNB,26AUG051430,600.42,600.32,-0.00016655008160938853,no,37928.94,9872.36
KXBNB15M-26AUG051415-15,KXBNB15M,BNB,26AUG051415,600.28,600.42,0.00023322449523553403,yes,31271.74,9214.41
KXBNB15M-26AUG051400-00,KXBNB15M,BNB,26AUG051400,599.97,600.28,0.0005166925012916403,yes,21039.44,5391.87
KXBNB15M-26AUG051345-45,KXBNB15M,BNB,26AUG051345,598.28,599.97,0.002824764324396695,yes,12818.36,5946.6
KXBNB15M-26AUG051330-30,KXBNB15M,BNB,26AUG051330,598.0,598.28,0.00046822742474911824,yes,27462.12,6827.72
KXBNB15M-26AUG051315-15,KXBNB15M,BNB,26AUG051315,598.76,598.0,-0.001269289865722478,no,19091.81,5871.83
KXBNB15M-26AUG051300-00,KXBNB15M,BNB,26AUG051300,600.05,598.76,-0.0021498208482625845,no,8269.57,4734.49
KXBNB15M-26AUG051245-45,KXBNB15M,BNB,26AUG051245,601.59,600.05,-0.002559882976778333,no,9992.07,6213.3
KXBNB15M-26AUG051230-30,KXBNB15M,BNB,26AUG051230,600.54,601.59,0.0017484264162255108,yes,12032.3,5649.11
KXBNB15M-26AUG051215-15,KXBNB15M,BNB,26AUG051215,599.39,600.54,0.0019186172608818587,yes,10597.71,5207.23
KXBNB15M-26AUG051200-00,KXBNB15M,BNB,26AUG051200,600.7,599.39,-0.002180789079407456,no,10165.74,6225.3
KXBNB15M-26AUG051145-45,KXBNB15M,BNB,26AUG051145,601.2,600.7,-0.00083166999334664,no,26577.88,10299.76
KXBNB15M-26AUG051130-30,KXBNB15M,BNB,26AUG051130,601.59,601.2,-0.0006482820525606914,no,15868.82,5871.54
KXBNB15M-26AUG051115-15,KXBNB15M,BNB,26AUG051115,602.27,601.59,-0.001129061716505803,no,29613.17,10528.35
KXBNB15M-26AUG051100-00,KXBNB15M,BNB,26AUG051100,599.61,602.27,0.004436216874301576,yes,19729.14,11209.56
KXBNB15M-26AUG051045-45,KXBNB15M,BNB,26AUG051045,599.01,599.61,0.0010016527269995873,yes,26965.32,6447.63
KXBNB15M-26AUG051030-30,KXBNB15M,BNB,26AUG051030,599.62,599.01,-0.0010173109636103092,no,17326.05,6686.65
KXBNB15M-26AUG051015-15,KXBNB15M,BNB,26AUG051015,600.01,599.62,-0.0006499891668471964,no,24405.74,7024.29
KXBNB15M-26AUG051000-00,KXBNB15M,BNB,26AUG051000,599.15,600.01,0.0014353667695902756,yes,15959.16,4657.98
KXBNB15M-26AUG050945-45,KXBNB15M,BNB,26AUG050945,599.51,599.15,-0.0006004904004937593,no,24265.24,7025.87
KXBNB15M-26AUG050930-30,KXBNB15M,BNB,26AUG050930,599.26,599.51,0.0004171811901344992,yes,39981.07,9825.08
KXBNB15M-26AUG050915-15,KXBNB15M,BNB,26AUG050915,599.17,599.26,0.00015020778743934416,yes,54034.36,15586.79
KXBNB15M-26AUG050900-00,KXBNB15M,BNB,26AUG050900,598.87,599.17,0.0005009434434851545,yes,44854.29,21125.43
KXBNB15M-26AUG050845-45,KXBNB15M,BNB,26AUG050845,599.04,598.87,-0.0002837873931623249,no,16775.87,8497.75
KXBNB15M-26AUG050830-30,KXBNB15M,BNB,26AUG050830,597.3,599.04,0.002913108990457072,yes,11522.02,3841.16
KXBNB15M-26AUG050815-15,KXBNB15M,BNB,26AUG050815,596.14,597.3,0.0019458516455865538,yes,11166.53,5174.08
