action,book_side,client_order_id,created_time,exchange_index,fill_count_fp,initial_count_fp,last_update_time,maker_fees_dollars,maker_fill_cost_dollars,no_price_dollars,order_id,outcome_side,remaining_count_fp,self_trade_prevention_type,side,status,subaccount_number,taker_fees_dollars,taker_fill_cost_dollars,ticker,type,user_id,yes_price_dollars,expiration_time
sell,ask,lsm1785970863654,2026-08-05T23:01:04.806973Z,0,20.00,20.00,2026-08-05T23:01:06.658536Z,0.000000,15.800000,0.7900,4f5004c8-8de0-4824-bb91-2ed5f15aa607,no,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXSOL15M-26AUG051915-15,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.2100,
sell,ask,lsm1785970863452,2026-08-05T23:01:04.597027Z,0,20.00,20.00,2026-08-05T23:01:05.28601Z,0.000000,14.600000,0.7300,05097de5-2f4c-40b5-ab38-86b44398bd62,no,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXETH15M-26AUG051915-15,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.2700,
sell,ask,lsm1785970863235,2026-08-05T23:01:04.327285Z,0,20.00,20.00,2026-08-05T23:01:05.712328Z,0.000000,13.200000,0.6600,28ea79da-a3e3-4308-9f1b-ec8fa49f59be,no,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXBTC15M-26AUG051915-15,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.3400,
buy,bid,lsm1785970050006,2026-08-05T22:47:31.134231Z,0,20.00,20.00,2026-08-05T22:47:34.785699Z,0.000000,13.000000,0.3500,9b061596-09f8-400a-87bc-7ce4680497a2,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXXRP15M-26AUG051900-00,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.6500,
buy,bid,lsm1785970044452,2026-08-05T22:47:25.576626Z,0,20.00,20.00,2026-08-05T22:47:26.465794Z,0.000000,14.200000,0.2900,f6308ff7-1838-4d83-8ae3-5c117091caa3,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXBTC15M-26AUG051900-00,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.7100,
buy,bid,lsm1785970033436,2026-08-05T22:47:14.566049Z,0,20.00,20.00,2026-08-05T22:47:15.755529Z,0.000000,13.000000,0.3500,685800c3-fa17-417e-b800-17560a855904,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXETH15M-26AUG051900-00,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.6500,
buy,bid,lsm1785969168493,2026-08-05T22:32:49.602638Z,0,20.00,20.00,2026-08-05T22:34:18.471412Z,0.000000,13.000000,0.3500,c36b05ad-5de0-49ed-9885-b219533a74ac,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXXRP15M-26AUG051845-45,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.6500,
buy,bid,lsm1785969163088,2026-08-05T22:32:44.199749Z,0,20.00,20.00,2026-08-05T22:32:47.580838Z,0.000000,13.200000,0.3400,0ce1c765-d98f-4911-9241-d82701d18da2,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXDOGE15M-26AUG051845-45,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.6600,
buy,bid,lsm1785969060877,2026-08-05T22:31:01.94364Z,0,20.00,20.00,2026-08-05T22:31:02.697353Z,0.000000,13.800000,0.3100,37b093a8-4065-4e14-a826-5744ff7a1a7a,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXBTC15M-26AUG051845-45,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.6900,
buy,bid,lsm1785968234411,2026-08-05T22:17:15.503504Z,0,20.00,20.00,2026-08-05T22:17:15.862124Z,0.000000,15.800000,0.2100,1b1801a9-f3bc-4b87-97f7-f2586b55ced0,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXSOL15M-26AUG051830-30,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.7900,
buy,bid,lsm1785968228910,2026-08-05T22:17:09.951947Z,0,20.00,20.00,2026-08-05T22:17:12.50975Z,0.000000,14.200000,0.2900,f32872b9-bf6e-47e3-82a3-8e4154543f2d,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXETH15M-26AUG051830-30,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.7100,
buy,bid,lsm1785968212667,2026-08-05T22:16:53.757679Z,0,20.00,20.00,2026-08-05T22:18:23.148059Z,0.000000,14.400000,0.2800,a670476b-0792-46de-ade6-61f8d748327b,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXHYPE15M-26AUG051830-30,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.7200,
buy,bid,lsm1785967265375,2026-08-05T22:01:06.444689Z,0,20.00,20.00,2026-08-05T22:01:14.47046Z,0.000000,13.000000,0.3500,10eaaf09-36ae-4763-a519-30ae98183681,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXETH15M-26AUG051815-15,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.6500,
buy,bid,lsm1785967265278,2026-08-05T22:01:06.299817Z,0,20.00,20.00,2026-08-05T22:01:07.50735Z,0.000000,13.200000,0.3400,292498ea-973f-47a4-a1e9-1239008e8a2d,yes,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXBTC15M-26AUG051815-15,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.6600,
sell,ask,lsm1785966466978,2026-08-05T21:47:47.982411Z,0,20.00,20.00,2026-08-05T21:48:03.927509Z,0.000000,13.000000,0.6500,620f3cc1-9cd5-4770-b6ec-d6ca5dba8bff,no,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXETH15M-26AUG051800-00,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.3500,
sell,ask,lsm1785966461703,2026-08-05T21:47:42.707486Z,0,20.00,20.00,2026-08-05T21:48:18.497927Z,0.000000,13.600000,0.6800,94b05c03-69b3-4fb2-a4ff-283ce28bbc73,no,0.00,taker_at_cross,yes,executed,0,0.000000,0.000000,KXXRP15M-26AUG051800-00,limit,1bc41759-8871-486a-985d-57ee7393b80f,0.3200,
