coin,wkey,day,px,maker_yes,vol,frac_long,won,edge
ETH,26AUG051115,2026-08-05,0.69,True,6510.730000000003,0.2595653636381787,1,0.31000000000000005
ETH,26AUG051100,2026-08-05,0.67,True,7.29,0.0,1,0.32999999999999996
ETH,26AUG051045,2026-08-05,0.6599999999999999,False,535.6800000000001,0.12703479689366784,0,-0.6599999999999999
ETH,26AUG051030,2026-08-05,0.65,False,13340.290000000015,0.27417694817728827,1,0.35
ETH,26AUG051015,2026-08-05,0.65,False,237.20999999999998,0.387631212849374,0,-0.65
ETH,26AUG051000,2026-08-05,0.6699999999999999,False,1903.1400000000006,0.2985276963334279,0,-0.6699999999999999
ETH,26AUG050930,2026-08-05,0.66,True,2195.9400000000005,0.1449447616965855,1,0.33999999999999997
ETH,26AUG050915,2026-08-05,0.65,True,3254.95,0.3408470176193183,0,-0.65
ETH,26AUG050900,2026-08-05,0.6599999999999999,False,3034.7200000000003,0.45460207201982383,1,0.3400000000000001
ETH,26AUG050845,2026-08-05,0.6599999999999999,False,4265.5,0.47390458328449186,1,0.3400000000000001
ETH,26AUG050830,2026-08-05,0.72,True,4586.169999999999,0.2804148123597686,1,0.28
ETH,26AUG050815,2026-08-05,0.6799999999999999,False,1438.7,0.26471119760895256,0,-0.6799999999999999
ETH,26AUG050800,2026-08-05,0.79,False,4899.810000000001,0.13925437925144032,1,0.20999999999999996
ETH,26AUG050745,2026-08-05,0.6699999999999999,False,1289.71,0.2991680300222531,0,-0.6699999999999999
ETH,26AUG050730,2026-08-05,0.65,False,1372.1100000000001,0.1918723717486207,1,0.35
ETH,26AUG050715,2026-08-05,0.69,True,4340.4800000000005,0.13767140961368324,1,0.31000000000000005
ETH,26AUG050700,2026-08-05,0.65,False,4904.380000000002,0.3394027379607615,1,0.35
ETH,26AUG050645,2026-08-05,0.6699999999999999,False,0.0,0.0,0,-0.6699999999999999
ETH,26AUG050630,2026-08-05,0.84,False,6478.29,0.38647853059989595,0,-0.84
ETH,26AUG050615,2026-08-05,0.66,True,132.0,0.0,0,-0.66
ETH,26AUG050600,2026-08-05,0.65,True,5631.980000000003,0.3354539611291232,0,-0.65
ETH,26AUG050545,2026-08-05,0.71,True,2785.61,0.4373943229669623,1,0.29000000000000004
ETH,26AUG050530,2026-08-05,0.65,True,3046.5500000000006,0.6922387618781901,1,0.35
