ticker,coin,date,close,side,px,won,edge,vol,mins_left,a0,a1,ret
KXBTC15M-26MAY242000-00,BTC,2026-05-25,2026-05-25T00:00:00+00:00,no,0.7,1,0.30000000000000004,43961.35,13.0,77116.79,76990.07,-0.0016432219235264672
KXBTC15M-26MAY250200-00,BTC,2026-05-25,2026-05-25T06:00:00+00:00,no,0.74,1,0.26,29967.89,13.0,77377.07,77317.48,-0.0007701247927843618
KXBTC15M-26MAY250500-00,BTC,2026-05-25,2026-05-25T09:00:00+00:00,no,0.6599999999999999,0,-0.6599999999999999,9585.51,12.0,77269.56,77362.28,0.00119995506639356
KXBTC15M-26MAY250800-00,BTC,2026-05-25,2026-05-25T12:00:00+00:00,no,0.6699999999999999,1,0.33000000000000007,11124.93,12.0,77403.86,77287.38,-0.0015048345134208543
KXBTC15M-26MAY251700-00,BTC,2026-05-25,2026-05-25T21:00:00+00:00,yes,0.79,1,0.20999999999999996,22168.94,11.0,77205.5,77214.44,0.00011579485917457083
KXBTC15M-26MAY252000-00,BTC,2026-05-26,2026-05-26T00:00:00+00:00,no,0.6799999999999999,1,0.32000000000000006,40783.26,11.0,77267.81,77267.7,-1.4236200042499208e-06
KXBTC15M-26MAY252300-00,BTC,2026-05-26,2026-05-26T03:00:00+00:00,no,0.76,0,-0.76,69235.27,13.0,76529.41,76562.94,0.0004381322160983449
KXBTC15M-26MAY260200-00,BTC,2026-05-26,2026-05-26T06:00:00+00:00,no,0.6699999999999999,1,0.33000000000000007,19704.16,14.0,76836.34,76826.22,-0.00013170851188376936
KXBTC15M-26MAY260500-00,BTC,2026-05-26,2026-05-26T09:00:00+00:00,no,0.7,1,0.30000000000000004,30682.54,11.0,76748.99,76652.45,-0.0012578667159008625
KXBTC15M-26MAY260800-00,BTC,2026-05-26,2026-05-26T12:00:00+00:00,yes,0.65,0,-0.65,13103.63,12.0,77152.45,77119.48,-0.0004273357488971661
KXBTC15M-26MAY261100-00,BTC,2026-05-26,2026-05-26T15:00:00+00:00,yes,0.66,1,0.33999999999999997,22627.79,12.0,76751.38,76834.79,0.0010867557039363845
KXBTC15M-26MAY261400-00,BTC,2026-05-26,2026-05-26T18:00:00+00:00,yes,0.74,0,-0.74,21945.58,8.0,75913.02,75846.35,-0.0008782419669247548
