decile,n,predicted_edge,actual_edge,win_rate,mean_ask
0,6,0.02028306491451056,-0.17864777777777777,0.3333333333333333,0.49499999999999994
1,5,0.020910392746459183,-0.01563199999999999,0.6,0.602
2,5,0.02191698764247723,-0.185032,0.4,0.568
3,5,0.022823779250214705,-0.2717573333333333,0.2,0.45600000000000007
4,5,0.023857240072129457,-0.026102666666666607,0.4,0.41
5,5,0.025700150872707668,0.023901333333333386,0.6,0.5599999999999999
6,5,0.02706704742599404,0.35851066666666664,0.8,0.426
7,5,0.029863807473257425,-0.08088133333333333,0.4,0.4640000000000001
8,5,0.03249524507894029,-0.11904666666666666,0.4,0.504
9,6,0.042771548134690356,-0.31647333333333333,0.16666666666666666,0.4666666666666666
