dimension,dropped,n,total_pnl,edge_per_contract
coin,BTC,32,-43.176500000000004,-0.08995104166666668
coin,DOGE,51,-73.86410000000001,-0.09655437908496733
coin,ETH,40,-41.935,-0.06989166666666667
coin,HYPE,44,-50.7853,-0.07694742424242425
coin,SOL,48,-57.5289,-0.07990125000000001
coin,XRP,45,-74.0297,-0.10967362962962963
week,2026-W29,45,-39.862300000000005,-0.059055259259259266
week,2026-W30,27,-71.17190000000001,-0.1757330864197531
week,2026-W31,42,-45.262699999999995,-0.07184555555555555
week,2026-W32,42,-48.4948,-0.07697587301587301
minute,0,48,-39.518499999999996,-0.05488680555555555
minute,15,40,-73.1497,-0.12191616666666666
minute,30,27,-29.5811,-0.07303975308641975
minute,45,41,-62.54240000000001,-0.10169495934959351
