ticker,coin,coin_order,close_ts,close_dt,day,minute,side,won,entry_ml,entry_bid,entry_ask,entry_vol,bid_d1,ask_d1,bid_d2,ask_d2,bid_d3,ask_d3,bid_d4,ask_d4,bid_d5,ask_d5,trade_price,fee,pnl,contracts,population
KXHYPE15M-26MAY242000-00,HYPE,5,1779667200,2026-05-25 00:00:00+00:00,2026-05-25,0,no,1,14.0,0.6699999999999999,0.7,14.57,0.63,0.6699999999999999,0.65,0.6799999999999999,0.73,0.77,0.79,0.83,0.78,0.83,0.6799999999999999,0.3047,6.095300000000001,20,all
KXHYPE15M-26MAY242045-45,HYPE,5,1779669900,2026-05-25 00:45:00+00:00,2026-05-25,45,yes,1,14.0,0.67,0.7,2.0,0.74,0.77,0.66,0.7,0.73,0.75,0.81,0.85,0.72,0.77,0.7,0.294,5.706000000000001,20,all
KXSOL15M-26MAY242130-30,SOL,2,1779672600,2026-05-25 01:30:00+00:00,2026-05-25,30,yes,0,14.0,0.68,0.72,145.94,0.64,0.67,0.62,0.64,0.51,0.54,0.63,0.64,0.66,0.71,0.64,0.3226,-13.1226,20,all
KXBTC15M-26MAY242145-45,BTC,0,1779673500,2026-05-25 01:45:00+00:00,2026-05-25,45,no,1,14.0,0.6799999999999999,0.69,36814.86,0.5900000000000001,0.6,0.71,0.72,0.52,0.53,0.38,0.39,0.30000000000000004,0.31000000000000005,0.72,0.2823,5.3177,20,all
KXHYPE15M-26MAY242230-30,HYPE,5,1779676200,2026-05-25 02:30:00+00:00,2026-05-25,30,no,1,14.0,0.7,0.72,4.0,0.64,0.7,0.61,0.6699999999999999,0.37,0.42000000000000004,0.42000000000000004,0.43999999999999995,0.52,0.5700000000000001,0.6699999999999999,0.3096,6.290400000000002,20,all
KXSOL15M-26MAY250000-00,SOL,2,1779681600,2026-05-25 04:00:00+00:00,2026-05-25,0,no,1,14.0,0.73,0.75,100.58,0.77,0.8,0.5700000000000001,0.61,0.56,0.5700000000000001,0.5900000000000001,0.65,0.75,0.76,0.61,0.3331,7.466900000000001,20,all
KXSOL15M-26MAY250030-30,SOL,2,1779683400,2026-05-25 04:30:00+00:00,2026-05-25,30,no,0,14.0,0.6599999999999999,0.6699999999999999,74.1,0.53,0.5800000000000001,0.56,0.6,0.6,0.6599999999999999,0.42000000000000004,0.45999999999999996,0.31999999999999995,0.36,0.6,0.336,-12.336,20,all
KXXRP15M-26MAY250045-45,XRP,3,1779684300,2026-05-25 04:45:00+00:00,2026-05-25,45,yes,1,14.0,0.66,0.71,19.0,0.71,0.74,0.69,0.73,0.6,0.66,0.57,0.62,0.74,0.75,0.73,0.276,5.1240000000000006,20,all
KXBTC15M-26MAY250115-15,BTC,0,1779686100,2026-05-25 05:15:00+00:00,2026-05-25,15,no,0,14.0,0.65,0.6599999999999999,54830.71,0.65,0.6599999999999999,0.72,0.73,0.83,0.84,0.76,0.78,0.83,0.84,0.73,0.276,-14.876,20,all
KXETH15M-26MAY250230-30,ETH,1,1779690600,2026-05-25 06:30:00+00:00,2026-05-25,30,no,1,14.0,0.6699999999999999,0.7,456.66,0.72,0.73,0.6699999999999999,0.69,0.62,0.63,0.71,0.73,0.8200000000000001,0.83,0.69,0.2995,5.900500000000001,20,all
KXXRP15M-26MAY250315-15,XRP,3,1779693300,2026-05-25 07:15:00+00:00,2026-05-25,15,yes,0,14.0,0.65,0.7,105.85,0.64,0.7,0.73,0.79,0.91,0.93,0.86,0.91,0.8,0.85,0.79,0.2323,-16.0323,20,all
KXHYPE15M-26MAY250400-00,HYPE,5,1779696000,2026-05-25 08:00:00+00:00,2026-05-25,0,yes,1,14.0,0.67,0.7,82.3,0.5,0.54,0.56,0.62,0.56,0.58,0.66,0.71,0.8,0.919,0.62,0.3299,7.270099999999999,20,all
KXBTC15M-26MAY250515-15,BTC,0,1779700500,2026-05-25 09:15:00+00:00,2026-05-25,15,yes,1,14.0,0.68,0.69,18306.09,0.46,0.47,0.65,0.66,0.43,0.45,0.4,0.41,0.41,0.42,0.66,0.3142,6.485799999999999,20,all
KXBTC15M-26MAY250700-00,BTC,0,1779706800,2026-05-25 11:00:00+00:00,2026-05-25,0,yes,1,14.0,0.71,0.72,17618.89,0.61,0.62,0.59,0.6,0.6,0.61,0.61,0.62,0.71,0.72,0.6,0.336,7.664,20,all
KXXRP15M-26MAY250715-15,XRP,3,1779707700,2026-05-25 11:15:00+00:00,2026-05-25,15,no,1,14.0,0.77,0.81,304.26,0.56,0.5900000000000001,0.6599999999999999,0.6799999999999999,0.62,0.64,0.6,0.65,0.6799999999999999,0.72,0.6799999999999999,0.3047,6.095300000000001,20,all
KXSOL15M-26MAY250900-00,SOL,2,1779714000,2026-05-25 13:00:00+00:00,2026-05-25,0,no,1,14.0,0.6799999999999999,0.74,365.37,0.75,0.8,0.71,0.75,0.79,0.83,0.6799999999999999,0.72,0.74,0.8,0.75,0.2625,4.7375,20,all
KXETH15M-26MAY251130-30,ETH,1,1779723000,2026-05-25 15:30:00+00:00,2026-05-25,30,no,1,14.0,0.69,0.7,1157.98,0.72,0.73,0.6699999999999999,0.6799999999999999,0.64,0.65,0.65,0.6599999999999999,0.84,0.85,0.6799999999999999,0.3047,6.095300000000001,20,all
KXSOL15M-26MAY251145-45,SOL,2,1779723900,2026-05-25 15:45:00+00:00,2026-05-25,45,no,0,14.0,0.6799999999999999,0.71,56.0,0.62,0.65,0.62,0.6599999999999999,0.43999999999999995,0.45999999999999996,0.32999999999999996,0.33999999999999997,0.21999999999999997,0.26,0.6599999999999999,0.3142,-13.514199999999999,20,all
KXETH15M-26MAY251315-15,ETH,1,1779729300,2026-05-25 17:15:00+00:00,2026-05-25,15,yes,0,14.0,0.69,0.71,626.07,0.76,0.78,0.78,0.79,0.49,0.52,0.6,0.63,0.52,0.54,0.79,0.2323,-16.0323,20,all
KXXRP15M-26MAY251330-30,XRP,3,1779730200,2026-05-25 17:30:00+00:00,2026-05-25,30,no,1,14.0,0.78,0.79,84.0,0.5800000000000001,0.64,0.6599999999999999,0.71,0.6699999999999999,0.72,0.6599999999999999,0.69,0.73,0.78,0.71,0.2883,5.511700000000001,20,all
KXETH15M-26MAY251545-45,ETH,1,1779738300,2026-05-25 19:45:00+00:00,2026-05-25,45,no,1,14.0,0.6699999999999999,0.6799999999999999,646.29,0.73,0.75,0.76,0.77,0.9319999999999999,0.943,0.9339999999999999,0.94,0.96,0.967,0.77,0.248,4.351999999999999,20,all
KXHYPE15M-26MAY251600-00,HYPE,5,1779739200,2026-05-25 20:00:00+00:00,2026-05-25,0,yes,1,14.0,0.67,0.7,14.05,0.62,0.68,0.68,0.73,0.72,0.75,0.81,0.85,0.8,0.85,0.73,0.276,5.1240000000000006,20,all
KXSOL15M-26MAY251630-30,SOL,2,1779741000,2026-05-25 20:30:00+00:00,2026-05-25,30,yes,0,14.0,0.68,0.73,8.16,0.58,0.62,0.57,0.61,0.59,0.63,0.71,0.78,0.59,0.62,0.61,0.3331,-12.5331,20,all
KXETH15M-26MAY251700-00,ETH,1,1779742800,2026-05-25 21:00:00+00:00,2026-05-25,0,yes,0,14.0,0.7,0.71,487.48,0.73,0.74,0.65,0.67,0.72,0.75,0.58,0.59,0.64,0.65,0.67,0.3096,-13.7096,20,all
KXBTC15M-26MAY251715-15,BTC,0,1779743700,2026-05-25 21:15:00+00:00,2026-05-25,15,yes,1,14.0,0.73,0.75,25473.58,0.7,0.71,0.79,0.8,0.83,0.84,0.83,0.84,0.83,0.84,0.8,0.224,3.775999999999999,20,all
KXXRP15M-26MAY251730-30,XRP,3,1779744600,2026-05-25 21:30:00+00:00,2026-05-25,30,no,1,14.0,0.71,0.76,112.4,0.75,0.8,0.73,0.77,0.8,0.81,0.7,0.71,0.62,0.6699999999999999,0.77,0.248,4.351999999999999,20,all
KXETH15M-26MAY251815-15,ETH,1,1779747300,2026-05-25 22:15:00+00:00,2026-05-25,15,no,0,14.0,0.6699999999999999,0.6799999999999999,488.08,0.51,0.54,0.72,0.74,0.75,0.76,0.72,0.75,0.30000000000000004,0.31000000000000005,0.74,0.2694,-15.0694,20,all
KXBTC15M-26MAY251900-00,BTC,0,1779750000,2026-05-25 23:00:00+00:00,2026-05-25,0,yes,0,14.0,0.65,0.66,26145.71,0.58,0.59,0.68,0.69,0.63,0.65,0.78,0.79,0.88,0.89,0.69,0.2995,-14.099499999999999,20,all
KXDOGE15M-26MAY251930-30,DOGE,4,1779751800,2026-05-25 23:30:00+00:00,2026-05-25,30,yes,1,14.0,0.65,0.7,5.0,0.64,0.7,0.7,0.76,0.76,0.81,0.74,0.78,0.84,0.88,0.76,0.2554,4.5446,20,all
KXHYPE15M-26MAY252045-45,HYPE,5,1779756300,2026-05-26 00:45:00+00:00,2026-05-26,45,no,1,14.0,0.65,0.7,71.52,0.75,0.76,0.5900000000000001,0.6,0.56,0.61,0.7,0.76,0.85,0.87,0.6,0.336,7.664,20,all
KXDOGE15M-26MAY252100-00,DOGE,4,1779757200,2026-05-26 01:00:00+00:00,2026-05-26,0,yes,1,14.0,0.68,0.73,58.91,0.79,0.8,0.6,0.66,0.59,0.62,0.68,0.74,0.42,0.48,0.66,0.3142,6.485799999999999,20,all
KXBTC15M-26MAY252115-15,BTC,0,1779758100,2026-05-26 01:15:00+00:00,2026-05-26,15,no,0,14.0,0.71,0.72,53643.74,0.6699999999999999,0.6799999999999999,0.78,0.79,0.85,0.86,0.86,0.87,0.83,0.84,0.79,0.2323,-16.0323,20,all
KXXRP15M-26MAY252215-15,XRP,3,1779761700,2026-05-26 02:15:00+00:00,2026-05-26,15,no,1,14.0,0.7,0.75,34.56,0.83,0.85,0.69,0.74,0.64,0.7,0.78,0.83,0.63,0.69,0.74,0.2694,4.9306,20,all
KXXRP15M-26MAY252230-30,XRP,3,1779762600,2026-05-26 02:30:00+00:00,2026-05-26,30,no,1,14.0,0.65,0.6599999999999999,23.21,0.74,0.78,0.69,0.74,0.51,0.5700000000000001,0.43000000000000005,0.45999999999999996,0.5700000000000001,0.64,0.74,0.2694,4.9306,20,all
KXETH15M-26MAY260115-15,ETH,1,1779772500,2026-05-26 05:15:00+00:00,2026-05-26,15,no,0,14.0,0.65,0.6599999999999999,372.99,0.71,0.73,0.69,0.7,0.74,0.75,0.65,0.7,0.76,0.8,0.7,0.294,-14.294,20,all
KXBTC15M-26MAY260200-00,BTC,0,1779775200,2026-05-26 06:00:00+00:00,2026-05-26,0,no,1,14.0,0.6699999999999999,0.6799999999999999,19704.16,0.63,0.64,0.73,0.74,0.62,0.63,0.72,0.73,0.69,0.7,0.74,0.2694,4.9306,20,all
KXETH15M-26MAY260215-15,ETH,1,1779776100,2026-05-26 06:15:00+00:00,2026-05-26,15,no,1,14.0,0.6699999999999999,0.6799999999999999,528.35,0.76,0.77,0.74,0.75,0.55,0.5800000000000001,0.56,0.6,0.51,0.52,0.75,0.2625,4.7375,20,all
KXBTC15M-26MAY260300-00,BTC,0,1779778800,2026-05-26 07:00:00+00:00,2026-05-26,0,no,1,14.0,0.6699999999999999,0.6799999999999999,19951.06,0.63,0.64,0.5900000000000001,0.6,0.69,0.7,0.71,0.72,0.79,0.8,0.6,0.336,7.664,20,all
