dim,level,n_train,train_filled_edge
coin,XRP,650,-2.238578680203044
prevol_b,calm,870,-2.8713043478260856
minute,0,928,-3.3634840871021767
bid_b,75-80,470,-4.814814814814817
side,yes,2036,-4.92170542635659
coin,SOL,711,-5.039823008849556
prevol_b,active,1036,-5.119868637110015
bid_b,65-70,2652,-5.451923076923074
minute,15,1125,-5.454678362573099
spread_b,widest,1612,-5.499999999999998
spread_b,tightest,845,-5.535372848948374
spread_b,tight,773,-5.679916317991629
minute,45,1084,-5.862275449101794
spread_b,wide,932,-6.188356164383559
side,no,2126,-6.44958301743745
coin,BTC,756,-6.539614561027837
coin,HYPE,681,-6.657718120805368
coin,DOGE,643,-6.666666666666665
coin,ETH,721,-6.68018018018018
bid_b,70-75,1040,-6.719135802469134
prevol_b,calmest,707,-6.997742663656884
prevol_b,wildest,1549,-7.1150712830957215
minute,30,1025,-7.880303030303029
