dim,level,n,train_mispricing_c
minute,0,127,7.385826771653538
coin,XRP,86,5.093023255813951
spread_b,tight,155,3.1354838709677395
coin,BTC,126,2.888888888888886
side,no,285,2.399999999999997
coin,ETH,114,1.9561403508771902
prevol_b,mid,166,1.8373493975903588
minute,45,141,1.6595744680851037
prevol_b,calm,127,1.5118110236220437
coin,DOGE,66,1.1515151515151478
ask_b,68-74,139,1.1223021582733819
spread_b,mid,146,0.9931506849315036
ask_b,74-80,410,0.9390243902438983
prevol_b,wild,262,0.4809160305343484
coin,SOL,82,0.4512195121951185
spread_b,wide,254,-0.031496062992129245
side,yes,270,-0.22592592592592903
minute,30,133,-0.3609022556391004
minute,15,154,-3.253246753246756
coin,HYPE,81,-6.358024691358026
