ticker,series,side,frontier_bid,distance_c,multiplier,pool_reward,target,cumulative_ahead,guaranteed_capacity,rest_fraction,min_qty_for_1usd,modeled_reward,worst_one_fill_loss,reward_to_loss,fits_frontier,arithmetic_cover,scalable_candidate,reward_day_if_repeated
KXAPRPOTUS-26AUG07-39.9,KXAPRPOTUS,yes,0.01,0.0,1.0,125.0,300.0,258.03,41,0.25,20,1.0330578512396693,0.2,5.165289256198347,True,True,True,0.155050449414028
KXAAAGASD-26AUG07-4.030,KXAAAGASD,no,0.01,0.0,1.0,100.0,1000.0,1.01,998,0.25,81,1.0023511941591388,0.81,1.2374706100730106,True,True,True,1.5195738939706358
KXRAIN-26AUG06-BOS,KXRAIN,yes,0.01,0.0,1.0,100.0,1000.0,471.26,528,0.25,81,1.0023511941591388,0.81,1.2374706100730106,True,True,True,0.5670316592676421
KXAPRPOTUS-26AUG07-39.9,KXAPRPOTUS,yes,0.01,0.0,1.0,125.0,300.0,258.03,41,0.5,10,1.0330578512396693,0.1,10.330578512396693,True,True,True,0.155050449414028
KXAAAGASD-26AUG07-4.030,KXAAAGASD,no,0.01,0.0,1.0,100.0,1000.0,1.01,998,0.5,41,1.0146003464488988,0.41000000000000003,2.4746349913387773,True,True,True,1.5383340655011375
KXRAIN-26AUG06-BOS,KXRAIN,yes,0.01,0.0,1.0,100.0,1000.0,471.26,528,0.5,41,1.0146003464488988,0.41000000000000003,2.4746349913387773,True,True,True,0.5740320501227981
KXCHINAAI-26AUG17-MOON,KXCHINAAI,yes,0.02,0.0,1.0,135.0,1000.0,25.0,975,0.5,30,1.0049627791563276,0.6,1.674937965260546,True,True,True,0.1826691878506545
KXGOLD15M-26AUG062115-15,KXGOLD15M,no,0.01,0.0,1.0,20.0,300.0,37.75,262,0.5,64,1.0126582278481013,0.64,1.5822784810126582,True,True,True,102.2296173044925
KXMAXSHIPSHORMUZ-26AUG31-AL100,KXMAXSHIPSHORMUZ,yes,0.02,0.0,1.0,125.0,1000.0,848.0,152,0.5,33,1.0228118026283164,0.66,1.549714852467146,True,True,True,0.19038472870410345
KXRAIN-26AUG07-AUS,KXRAIN,yes,0.02,0.0,1.0,100.0,1000.0,243.18,756,0.5,41,1.0146003464488988,0.8200000000000001,1.2373174956693886,True,True,True,0.5609362619070678
KXRAIN-26AUG07-LV,KXRAIN,yes,0.02,0.0,1.0,100.0,1000.0,570.01,429,0.5,41,1.0146003464488988,0.8200000000000001,1.2373174956693886,True,True,True,0.5364590432056694
KXVOTEPRIMARY-FLPRIMARY25D26OLAROLAR-50,KXVOTEPRIMARY,yes,0.02,0.0,1.0,90.0,1000.0,800.0,200,0.5,45,1.0012360939431397,0.9,1.1124845488257107,True,True,True,0.22920674196370047
KXMAXSHIPSHORMUZ-26AUG31-AL90,KXMAXSHIPSHORMUZ,yes,0.03,0.0,1.0,125.0,1000.0,25.0,975,0.5,33,1.0228118026283164,0.99,1.0331432349780973,True,True,True,0.19038472870166145
KXTRUMPACT-26AUG02-T10,KXTRUMPACT,yes,0.02,2.0,0.25,100.0,300.0,219.54,80,0.5,49,1.0105176325015468,0.98,1.031140441328109,True,True,True,0.1475573588201755
