ticker,series,side,frontier_bid,distance_c,multiplier,pool_reward,target,cumulative_ahead,guaranteed_capacity,rest_fraction,min_qty_for_1usd,modeled_reward,worst_one_fill_loss,reward_to_loss,fits_frontier,arithmetic_cover,scalable_candidate,reward_day_if_repeated
KXAPRPOTUS-26AUG07-39.9,KXAPRPOTUS,yes,0.01,0.0,1.0,125.0,300.0,258.03,41,0.25,20,1.0330578512396693,0.2,5.165289256198347,True,True,True,0.155050449414028
KXAAAGASD-26AUG07-4.030,KXAAAGASD,no,0.01,0.0,1.0,100.0,1000.0,1.01,998,0.25,81,1.0023511941591388,0.81,1.2374706100730106,True,True,True,1.5195738939706358
KXRAIN-26AUG06-BOS,KXRAIN,yes,0.01,0.0,1.0,100.0,1000.0,471.26,528,0.25,81,1.0023511941591388,0.81,1.2374706100730106,True,True,True,0.5670316592676421
KXAPRPOTUS-26AUG07-39.9,KXAPRPOTUS,yes,0.01,0.0,1.0,125.0,300.0,258.03,41,0.5,10,1.0330578512396693,0.1,10.330578512396693,True,True,True,0.155050449414028
KXAAAGASD-26AUG07-4.030,KXAAAGASD,no,0.01,0.0,1.0,100.0,1000.0,1.01,998,0.5,41,1.0146003464488988,0.41000000000000003,2.4746349913387773,True,True,True,1.5383340655011375
KXRAIN-26AUG06-BOS,KXRAIN,yes,0.01,0.0,1.0,100.0,1000.0,471.26,528,0.5,41,1.0146003464488988,0.41000000000000003,2.4746349913387773,True,True,True,0.5740320501227981
KXCHINAAI-26AUG17-MOON,KXCHINAAI,yes,0.02,0.0,1.0,135.0,1000.0,25.0,975,0.5,30,1.0049627791563276,0.6,1.674937965260546,True,True,True,0.1826691878506545
KXGOLD15M-26AUG062115-15,KXGOLD15M,no,0.01,0.0,1.0,20.0,300.0,37.75,262,0.5,64,1.0126582278481013,0.64,1.5822784810126582,True,True,True,102.2296173044925
KXMAXSHIPSHORMUZ-26AUG31-AL100,KXMAXSHIPSHORMUZ,yes,0.02,0.0,1.0,125.0,1000.0,848.0,152,0.5,33,1.0228118026283164,0.66,1.549714852467146,True,True,True,0.19038472870410345
KXRAIN-26AUG07-AUS,KXRAIN,yes,0.02,0.0,1.0,100.0,1000.0,243.18,756,0.5,41,1.0146003464488988,0.8200000000000001,1.2373174956693886,True,True,True,0.5609362619070678
KXRAIN-26AUG07-LV,KXRAIN,yes,0.02,0.0,1.0,100.0,1000.0,570.01,429,0.5,41,1.0146003464488988,0.8200000000000001,1.2373174956693886,True,True,True,0.5364590432056694
KXVOTEPRIMARY-FLPRIMARY25D26OLAROLAR-50,KXVOTEPRIMARY,yes,0.02,0.0,1.0,90.0,1000.0,800.0,200,0.5,45,1.0012360939431397,0.9,1.1124845488257107,True,True,True,0.22920674196370047
KXMAXSHIPSHORMUZ-26AUG31-AL90,KXMAXSHIPSHORMUZ,yes,0.03,0.0,1.0,125.0,1000.0,25.0,975,0.5,33,1.0228118026283164,0.99,1.0331432349780973,True,True,True,0.19038472870166145
KXTRUMPACT-26AUG02-T10,KXTRUMPACT,yes,0.02,2.0,0.25,100.0,300.0,219.54,80,0.5,49,1.0105176325015468,0.98,1.031140441328109,True,True,True,0.1475573588201755
KXCHINAAI-26AUG17-MOON,KXCHINAAI,yes,0.02,0.0,1.0,135.0,1000.0,25.0,975,0.25,60,1.0049627791563276,1.2,0.837468982630273,True,False,False,0.1826691878506545
KXGOLD15M-26AUG062115-15,KXGOLD15M,no,0.01,0.0,1.0,20.0,300.0,37.75,262,0.25,127,1.0051444400474872,1.27,0.7914523149980214,True,False,False,101.43094841930116
KXMAXSHIPSHORMUZ-26AUG31-AL100,KXMAXSHIPSHORMUZ,yes,0.02,0.0,1.0,125.0,1000.0,848.0,152,0.25,65,1.0074395536267824,1.3,0.7749535027898325,True,False,False,0.18750011160252614
KXEURUSDAW-26AUG07-1.1630,KXEURUSDAW,yes,0.02,0.0,1.0,120.0,1000.0,995.0,5,0.25,68,1.0114030738720872,1.36,0.7436787307882994,False,False,False,0.2376319910936937
KXRAIN-26AUG07-AUS,KXRAIN,yes,0.02,0.0,1.0,100.0,1000.0,243.18,756,0.25,81,1.0023511941591388,1.62,0.6187353050365053,True,False,False,0.5540955757862499
KXRAIN-26AUG07-LV,KXRAIN,yes,0.02,0.0,1.0,100.0,1000.0,570.01,429,0.25,81,1.0023511941591388,1.62,0.6187353050365053,True,False,False,0.5299168597519417
KXVOTEPRIMARY-FLPRIMARY25D26OLAROLAR-50,KXVOTEPRIMARY,yes,0.02,0.0,1.0,90.0,1000.0,800.0,200,0.25,90,1.0012360939431397,1.8,0.5562422744128553,True,False,False,0.22920674196370047
KXMAXSHIPSHORMUZ-26AUG31-AL90,KXMAXSHIPSHORMUZ,yes,0.03,0.0,1.0,125.0,1000.0,25.0,975,0.25,65,1.0074395536267824,1.95,0.5166356685265551,True,False,False,0.18750011160012114
KXTRUMPACT-26AUG02-T10,KXTRUMPACT,yes,0.02,2.0,0.25,100.0,300.0,219.54,80,0.25,97,1.000309374033206,1.94,0.5156233886769104,False,False,False,0.14605167148527576
KXTRUTHSOCIAL-26AUG08-T240,KXTRUTHSOCIAL,yes,0.08,0.0,1.0,100.0,300.0,60.63,239,0.25,25,1.0309278350515463,2.0,0.5154639175257731,True,False,False,0.150395434152765
KXEURUSDAW-26AUG07-1.1610,KXEURUSDAW,yes,0.03,0.0,1.0,120.0,1000.0,607.59,392,0.25,68,1.0114030738720872,2.04,0.49578582052553294,True,False,False,0.23763199108984828
KXLULUCC-26SEP07-T90,KXLULUCC,yes,0.02,1.0,0.5,145.0,1000.0,176.59,823,0.25,112,1.0079443892750746,2.24,0.44997517378351537,True,False,False,0.1964590962383336
KXCAC40-26AUG31-8750,KXCAC40,no,0.06,0.0,1.0,200.0,1000.0,272.42,727,0.25,41,1.0197736599925382,2.46,0.4145421382083489,True,False,False,0.17442517926301457
KXFSLR-26OCTMWSOLD-3700,KXFSLR,no,0.03,0.0,1.0,100.0,1000.0,154.37,845,0.25,81,1.0023511941591388,2.4299999999999997,0.41249020335767034,True,False,False,0.20078701545083286
KXTOPMOVIE-26AUG06-MASTERS,KXTOPMOVIE,yes,0.03,0.0,1.0,100.0,1000.0,323.73,676,0.25,81,1.0023511941591388,2.4299999999999997,0.41249020335767034,True,False,False,0.209495540401029
KXVOTEPRIMARY-SCRSENS26RFRYRFRY-40,KXVOTEPRIMARY,yes,0.03,0.0,1.0,100.0,1000.0,874.0,126,0.25,81,1.0023511941591388,2.4299999999999997,0.41249020335767034,True,False,False,0.23139587855545538
KXVOTEPRIMARY-FLPRIMARY25D26OLAROLAR-15,KXVOTEPRIMARY,no,0.03,0.0,1.0,90.0,1000.0,654.1,345,0.25,90,1.0012360939431397,2.6999999999999997,0.3708281829419036,True,False,False,0.22920674193546073
KXSCRSENS1REXACT-26AUG11-NOR-FRY-GRA,KXSCRSENS1REXACT,yes,0.07,0.0,1.0,200.0,1000.0,805.01,194,0.25,41,1.0197736599925382,2.87,0.3553218327500133,True,False,False,0.15764817090680946
KXTRUMPACT-26AUG02-T9,KXTRUMPACT,yes,0.03,2.0000000000000004,0.2499999999999999,100.0,300.0,127.27,172,0.25,97,1.0003093740332059,2.9099999999999997,0.34374892578460686,True,False,False,0.14605167148527576
KXNETFLIXTOPVIEWSMOVIE-26AUG10-30,KXNETFLIXTOPVIEWSMOVIE,yes,0.03,0.0,1.0,80.0,1000.0,22.0,978,0.25,102,1.0071587262404345,3.06,0.32913683864066484,True,False,False,0.23997345432246256
KXTRUTHSOCIAL-26AUG08-B230,KXTRUTHSOCIAL,yes,0.13,0.0,1.0,100.0,300.0,260.18,39,0.25,25,1.0309278350515463,3.25,0.317208564631245,True,False,False,0.150395434152765
KXRAIN-26AUG07-DAL,KXRAIN,yes,0.04,0.0,1.0,100.0,1000.0,36.12,963,0.25,81,1.0023511941591388,3.24,0.30936765251825266,True,False,False,0.5540955757862499
KXSGA-27FEBMARGIN-15,KXSGA,yes,0.04,0.0,1.0,100.0,1000.0,66.51,933,0.25,81,1.0023511941591388,3.24,0.30936765251825266,True,False,False,0.20078701501234142
KXCMGCC-26SEP07-T103,KXCMGCC,yes,0.04,0.0,1.0,100.0,1000.0,501.0,499,0.25,81,1.0023511941591388,3.24,0.30936765251825266,True,False,False,0.19592623759543784
KXTRUMPUFC-26OCT-DJT,KXTRUMPUFC,yes,0.03,2.0000000000000004,0.2499999999999999,285.0,1000.0,790.89,209,0.25,113,1.002864883380562,3.3899999999999997,0.2958303490798118,True,False,False,0.18301349714264853
