seconds,branch,n,wins,win_rate,win_ci_lo,win_ci_hi,mean_price
1,filled_by_t,83,58.0,0.6987951807228916,0.5931077009464831,0.7868945099754714,0.6897590361445782
1,not_filled_by_t,220,159.0,0.7227272727272728,0.6601359639010179,0.7776736300261163,0.6926363636363637
1,fill_rate_given_win,217,,0.2672811059907834,,,0.6935944700460829
1,fill_rate_given_lose,86,,0.29069767441860467,,,0.6874418604651161
2,filled_by_t,135,100.0,0.7407407407407407,0.6608811978439876,0.807278201068154,0.6868888888888888
2,not_filled_by_t,168,117.0,0.6964285714285714,0.6231491233585544,0.7609255128180175,0.6958333333333334
2,fill_rate_given_win,217,,0.4608294930875576,,,0.6935944700460829
2,fill_rate_given_lose,86,,0.4069767441860465,,,0.6874418604651161
5,filled_by_t,177,123.0,0.6949152542372882,0.6235377205896802,0.7580116574295368,0.689322033898305
5,not_filled_by_t,126,94.0,0.746031746031746,0.6635277527494343,0.8139771455266189,0.6953968253968256
5,fill_rate_given_win,217,,0.5668202764976958,,,0.6935944700460829
5,fill_rate_given_lose,86,,0.627906976744186,,,0.6874418604651161
10,filled_by_t,214,153.0,0.7149532710280374,0.6510938013474521,0.7712314111004919,0.6900000000000002
10,not_filled_by_t,89,64.0,0.7191011235955056,0.6181638937135869,0.8019064195942405,0.6962921348314607
10,fill_rate_given_win,217,,0.7050691244239631,,,0.6935944700460829
10,fill_rate_given_lose,86,,0.7093023255813954,,,0.6874418604651161
15,filled_by_t,227,159.0,0.7004405286343612,0.6379191208781364,0.7562905882904017,0.690660792951542
15,not_filled_by_t,76,58.0,0.7631578947368421,0.6563840337948657,0.8446079302940304,0.6953947368421053
15,fill_rate_given_win,217,,0.7327188940092166,,,0.6935944700460829
15,fill_rate_given_lose,86,,0.7906976744186046,,,0.6874418604651161
30,filled_by_t,248,172.0,0.6935483870967742,0.6335802606248692,0.7476117267195569,0.6916935483870968
30,not_filled_by_t,55,45.0,0.8181818181818182,0.6966928866143076,0.898124385519693,0.6925454545454546
30,fill_rate_given_win,217,,0.7926267281105991,,,0.6935944700460829
30,fill_rate_given_lose,86,,0.8837209302325582,,,0.6874418604651161
45,filled_by_t,258,181.0,0.7015503875968992,0.6430900329296904,0.7540966631491607,0.6913565891472868
45,not_filled_by_t,45,36.0,0.8,0.6617674868607056,0.8910399559749099,0.6946666666666667
45,fill_rate_given_win,217,,0.8341013824884793,,,0.6935944700460829
45,fill_rate_given_lose,86,,0.8953488372093024,,,0.6874418604651161
60,filled_by_t,264,183.0,0.6931818181818182,0.6351108109633973,0.7457112868735333,0.6909848484848484
60,not_filled_by_t,39,34.0,0.8717948717948718,0.7329395096236953,0.9439726505197168,0.6976923076923076
60,fill_rate_given_win,217,,0.8433179723502304,,,0.6935944700460829
60,fill_rate_given_lose,86,,0.9418604651162791,,,0.6874418604651161
90,filled_by_t,269,186.0,0.6914498141263941,0.6338799512479871,0.7436284638910533,0.6916728624535317
90,not_filled_by_t,34,31.0,0.9117647058823529,0.7703918204763959,0.9695346096956899,0.6932352941176471
90,fill_rate_given_win,217,,0.8571428571428571,,,0.6935944700460829
90,fill_rate_given_lose,86,,0.9651162790697675,,,0.6874418604651161
120,filled_by_t,270,187.0,0.6925925925925925,0.635172509871565,0.7446090864965542,0.6918148148148149
120,not_filled_by_t,33,30.0,0.9090909090909091,0.7642705646564897,0.968596628950737,0.6921212121212121
120,fill_rate_given_win,217,,0.8617511520737328,,,0.6935944700460829
120,fill_rate_given_lose,86,,0.9651162790697675,,,0.6874418604651161
180,filled_by_t,272,188.0,0.6911764705882353,0.6339265067247793,0.7431014687510008,0.6916176470588236
180,not_filled_by_t,31,29.0,0.9354838709677419,0.7928101168125354,0.9821255922249368,0.6938709677419355
180,fill_rate_given_win,217,,0.8663594470046083,,,0.6935944700460829
180,fill_rate_given_lose,86,,0.9767441860465116,,,0.6874418604651161
240,filled_by_t,274,190.0,0.6934306569343066,0.636474763746866,0.7450375799770401,0.6917883211678832
240,not_filled_by_t,29,27.0,0.9310344827586207,0.7803505240414808,0.9808791359020055,0.6924137931034483
240,fill_rate_given_win,217,,0.8755760368663594,,,0.6935944700460829
240,fill_rate_given_lose,86,,0.9767441860465116,,,0.6874418604651161
300,filled_by_t,276,191.0,0.6920289855072463,0.6352386553894421,0.7435470576710891,0.6915579710144927
300,not_filled_by_t,27,26.0,0.9629629629629629,0.8171614606584348,0.9934320234669025,0.6948148148148149
300,fill_rate_given_win,217,,0.880184331797235,,,0.6935944700460829
300,fill_rate_given_lose,86,,0.9883720930232558,,,0.6874418604651161
420,filled_by_t,276,191.0,0.6920289855072463,0.6352386553894421,0.7435470576710891,0.6915579710144927
420,not_filled_by_t,27,26.0,0.9629629629629629,0.8171614606584348,0.9934320234669025,0.6948148148148149
420,fill_rate_given_win,217,,0.880184331797235,,,0.6935944700460829
420,fill_rate_given_lose,86,,0.9883720930232558,,,0.6874418604651161
