wait_seconds,delay_minutes,ask_ceiling,probe_qty,commit_qty,volume_filter,eligible_markets,calendar_days,live_fill_rate_win,live_fill_rate_lose,live_nofill_win_rate,mean_commits,mean_probe_fills,mean_total_pnl,mean_pnl_per_day,pnl_day_ci_lo,pnl_day_ci_hi,p_mean_day_nonpositive,median_max_drawdown,max_drawdown_p95,median_worst_window,p_hit_211_over_history
30,1,0.76,1,10,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,235.99333333333334,2099.891666666667,199.84968616666674,2.7376669337899555,-0.3388529109589031,5.736546027397261,0.043333333333333335,41.404150000000016,92.46115499999976,-8.8793,0.011666666666666667
30,1,0.76,1,15,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,235.6,2101.2116666666666,298.4079970000001,4.087780780821919,-1.1887705479452035,8.627579897260276,0.06166666666666667,56.83150000000006,137.40394500000025,-12.382200000000001,0.045
30,1,0.76,1,20,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,233.47666666666666,2104.6966666666667,383.6238676666668,5.255121474885847,-1.4972114041095868,11.379189417808218,0.06666666666666667,72.82149999999997,199.37027999999978,-16.1754,0.065
30,1,0.78,1,10,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,267.87,2102.6283333333336,210.00259166666672,2.8767478310502295,-0.28930845890410867,6.1042143835616445,0.04833333333333333,43.424049999999774,104.88369000000012,-8.8793,0.015
30,1,0.78,1,15,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,271.5833333333333,2096.9666666666667,321.50007783333336,4.404110655251142,-0.9618127739726006,9.277928630136984,0.055,59.567450000000036,152.8871999999999,-12.5602,0.043333333333333335
30,1,0.78,1,20,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,273.23333333333335,2094.1383333333333,445.25955550000015,6.099445965753427,-1.5775728424657518,12.924769383561644,0.051666666666666666,76.04190000000001,206.62002500000008,-16.520300000000002,0.056666666666666664
30,1,0.8,1,10,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,301.835,2101.45,249.4766976666667,3.417489009132421,-0.8539607191780815,6.573819109589042,0.045,41.02890000000009,108.56735999999982,-9.0624,0.025
30,1,0.8,1,15,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,302.30833333333334,2100.4733333333334,370.76721566666674,5.079002954337901,-0.8691766780821902,10.308790068493149,0.056666666666666664,58.724399999999974,154.63116999999994,-12.857999999999999,0.03833333333333333
30,1,0.8,1,20,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,304.48833333333334,2097.9783333333335,477.64918916666664,6.543139577625572,-0.9393630479452032,13.597594486301372,0.058333333333333334,75.07004999999991,183.40650499999984,-16.874,0.07333333333333333
30,1,0.82,1,10,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,324.18666666666667,2096.5583333333334,255.3810348333334,3.498370340182649,-0.15887969178082081,6.622378287671233,0.03333333333333333,41.712899999999905,101.59915500000021,-8.954799999999999,0.018333333333333333
30,1,0.82,1,15,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,323.785,2097.04,385.9721356666667,5.287289529680366,-0.9672799657534236,11.104871815068492,0.04833333333333333,58.3012499999999,143.35377500000018,-13.031600000000001,0.035
30,1,0.82,1,20,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,319.0516666666667,2104.325,519.3009440000001,7.1137115616438376,-1.5464947260273958,14.35377681506849,0.04833333333333333,73.15789999999993,190.13587499999986,-17.1355,0.06833333333333333
30,1,0.85,1,10,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,354.7266666666667,2100.4733333333334,278.0740238333334,3.809233203196348,-0.3675694520547937,7.479556506849316,0.04666666666666667,45.11049999999988,108.22511499999983,-9.376199999999999,0.023333333333333334
30,1,0.85,1,15,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,356.985,2097.9783333333335,405.43854250000004,5.553952636986302,-0.48193791095890265,11.276108356164386,0.045,59.836499999999866,148.94727999999995,-13.527999999999999,0.03833333333333333
30,1,0.85,1,20,True,2578,73,0.7926267281105991,0.8837209302325582,0.8181818181818182,353.71666666666664,2101.326666666667,555.5912843333334,7.610839511415528,-1.3912293835616423,15.285674143835617,0.035,73.70275000000004,198.265905,-17.7382,0.04833333333333333
60,1,0.76,1,10,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,171.38,2230.26,227.68800000000007,3.1190136986301376,0.3757284246575349,5.510827431506848,0.015,27.91474999999994,61.207485000000325,-8.731300000000001,0.0016666666666666668
60,1,0.76,1,15,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,168.18,2238.065,340.7541725000001,4.66786537671233,0.4574654794520564,8.21834191780822,0.015,37.17254999999999,87.61070499999985,-12.296199999999999,0.008333333333333333
60,1,0.76,1,20,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,170.62833333333333,2232.548333333333,453.9752178333335,6.218838600456622,0.4597845205479468,10.840881678082193,0.021666666666666667,46.98609999999992,111.65816499999991,-16.1354,0.021666666666666667
60,1,0.78,1,10,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,197.33166666666668,2230.48,256.08828266666666,3.5080586666666673,0.6978293835616447,6.230376712328767,0.008333333333333333,29.301199999999938,63.848539999999694,-8.781199999999998,0.005
60,1,0.78,1,15,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,196.94166666666666,2232.68,373.7722125000001,5.120167294520549,0.26080219178082314,8.976672773972602,0.023333333333333334,39.72329999999995,99.55642499999965,-12.496,0.016666666666666666
60,1,0.78,1,20,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,197.825,2230.3783333333336,524.8607318333335,7.189873038812787,0.330510513698632,12.54267821917808,0.02,48.99274999999997,119.75440999999972,-16.368,0.008333333333333333
60,1,0.8,1,10,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,220.09666666666666,2234.7966666666666,280.59027866666673,3.843702447488585,0.8249852739726035,6.520972773972601,0.006666666666666667,28.617699999999935,62.26429999999993,-8.802,0.0
60,1,0.8,1,15,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,221.07,2232.84,421.84294350000005,5.77867045890411,0.36112530821917876,10.325974794520548,0.018333333333333333,38.33404999999996,92.76257999999997,-12.704200000000002,0.008333333333333333
60,1,0.8,1,20,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,220.0,2233.483333333333,551.4215811666668,7.55372028995434,0.8275121575342481,13.3331476369863,0.015,52.141949999999724,118.6025999999999,-16.7323,0.016666666666666666
60,1,0.82,1,10,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,233.885,2235.665,290.8119423333334,3.983725237442923,0.9532991095890417,7.007453698630136,0.008333333333333333,29.69145000000006,61.20291499999995,-8.927800000000001,0.0033333333333333335
60,1,0.82,1,15,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,236.68333333333334,2232.0716666666667,455.9834306666666,6.246348365296805,1.9118758561643845,10.605616301369862,0.005,36.68480000000015,87.1489449999999,-12.857999999999999,0.005
60,1,0.82,1,20,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,236.84833333333333,2231.535,579.6126730000001,7.939899630136988,0.7396925342465767,14.90148030821918,0.015,50.3659999999999,121.09288999999981,-16.914,0.021666666666666667
60,1,0.85,1,10,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,260.74333333333334,2232.84,313.4372321666667,4.293660714611873,0.6165921917808224,7.475317910958906,0.013333333333333334,28.88444999999996,67.41747000000002,-9.2441,0.005
60,1,0.85,1,15,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,260.015,2233.483333333333,462.367635,6.333803219178083,0.8438526369863022,11.091171815068494,0.01,41.230350000000094,101.47514499999983,-13.3912,0.01
60,1,0.85,1,20,True,2578,73,0.8433179723502304,0.9418604651162791,0.8717948717948718,259.50166666666667,2234.338333333333,621.5316198333334,8.514131778538815,1.2459619520547969,15.168202191780827,0.01,51.55775000000011,118.70709999999939,-17.5223,0.013333333333333334
90,2,0.76,1,10,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,114.8,2270.7483333333334,195.3049411666667,2.675410152968037,1.0120459931506853,4.028510547945206,0.0,23.979599999999834,42.835025000000115,-8.3413,0.0
90,2,0.76,1,15,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,112.19333333333333,2278.2716666666665,298.2374131666667,4.085444015981736,1.6100571917808228,6.366630684931505,0.005,28.68089999999998,57.84601999999981,-12.0121,0.0
90,2,0.76,1,20,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,113.565,2273.536666666667,405.4308443333334,5.553847182648402,2.2201684589041104,8.829516232876712,0.0016666666666666668,35.465949999999964,78.52597000000019,-15.7294,0.0016666666666666668
90,2,0.78,1,10,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,131.675,2273.605,219.0064138333334,3.0000878607305945,0.9482631849315075,4.748273253424657,0.0016666666666666668,23.0905,48.81034999999979,-8.514,0.0
90,2,0.78,1,15,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,132.805,2272.74,341.9686246666667,4.684501707762558,1.9357516780821924,7.4441593493150675,0.0,29.389649999999875,60.97131999999999,-12.3116,0.0
90,2,0.78,1,20,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,131.50166666666667,2275.9816666666666,460.9416981666667,6.314269837899544,2.355561369863014,9.958395547945205,0.0016666666666666668,34.8523,75.20964999999973,-16.1754,0.0016666666666666668
90,2,0.8,1,10,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,150.22666666666666,2272.12,246.544078,3.377316136986302,1.6549135273972604,5.1164679452054775,0.0016666666666666668,24.18114999999989,50.71767999999981,-8.584,0.0016666666666666668
90,2,0.8,1,15,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,148.06166666666667,2277.26,362.7877366666667,4.969695022831051,1.6899202739726027,7.942938184931507,0.0033333333333333335,29.484700000000004,66.80556499999999,-12.456000000000001,0.0016666666666666668
90,2,0.8,1,20,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,148.43666666666667,2275.3433333333332,504.71399333333335,6.913890319634705,2.7570786301369874,10.688908184931506,0.0016666666666666668,35.80955,76.71018500000005,-16.338,0.0033333333333333335
90,2,0.82,1,10,True,2577,73,0.8571428571428571,0.9651162790697675,0.9117647058823529,162.53333333333333,2274.9533333333334,265.40812250000005,3.6357277054794532,1.6817925342465754,5.430557294520548,0.0,23.450999999999922,45.62817000000005,-8.6662,0.0
