observed,ci_lo,ci_hi,p_min,p_max,p_median,comparison,block_minutes
2.2914000000000003,-45.814541,42.72145599999999,0.435125,0.44425,0.437,PTC_60 - PROBE_ONLY_60,15
2.2914000000000003,-47.316626512096775,44.12313407258064,0.43175,0.442625,0.434125,PTC_60 - PROBE_ONLY_60,30
2.2914000000000003,-49.39354435483871,46.73580796370967,0.434375,0.445875,0.4425,PTC_60 - PROBE_ONLY_60,60
2.2914000000000003,-48.063869543650796,44.94524156746029,0.464375,0.472875,0.467125,PTC_60 - PROBE_ONLY_60,90
2.2913999999999977,,,,,,PTC_60 - PROBE_ONLY_60,day
8.304099999999996,-18.543354500000003,31.062692999999985,0.238875,0.245875,0.24125,PTC_120 - PROBE_ONLY_60,15
8.304099999999996,-18.688936491935486,31.568218749999982,0.233875,0.243375,0.240375,PTC_120 - PROBE_ONLY_60,30
8.304099999999996,-19.188121471774195,33.85511693548386,0.2445,0.25075,0.246875,PTC_120 - PROBE_ONLY_60,60
8.304099999999996,-19.599160714285716,34.01487896825395,0.244375,0.252,0.247125,PTC_120 - PROBE_ONLY_60,90
8.304099999999998,,,,,,PTC_120 - PROBE_ONLY_60,day
-0.09304999999998742,-260.95361399999996,271.3533022499999,0.505,0.51325,0.51,PTC_60 - CONTROL,15
-0.09304999999998742,-296.0798870967741,298.96664138104825,0.5155,0.52925,0.51775,PTC_60 - CONTROL,30
-0.09304999999998742,-318.7679831149193,290.99731401209664,0.5615,0.579875,0.573875,PTC_60 - CONTROL,60
-0.09304999999998742,-313.15443105158727,271.10761483134905,0.59325,0.61325,0.604625,PTC_60 - CONTROL,90
-0.09304999999997676,,,,,,PTC_60 - CONTROL,day
5.919650000000022,-255.32653624999995,275.16033624999994,0.4875,0.496875,0.494,PTC_120 - CONTROL,15
5.919650000000022,-293.65799848790317,307.06563886088696,0.498,0.509125,0.505375,PTC_120 - CONTROL,30
5.919650000000022,-310.2110425907257,294.9379679939517,0.5455,0.563375,0.55425,PTC_120 - CONTROL,60
5.919650000000022,-302.34817832341264,274.26418278769836,0.575125,0.59125,0.58375,PTC_120 - CONTROL,90
5.919650000000033,,,,,,PTC_120 - CONTROL,day
