excluded_hour,n,total_pnl,edge_per_contract
0,55,36.8733,0.04469490909090909
1,54,49.475000000000016,0.061080246913580265
4,53,45.48590000000002,0.05721496855345915
5,55,51.73430000000002,0.06270824242424244
6,54,47.88940000000002,0.05912271604938275
7,55,38.17000000000001,0.04626666666666668
8,53,32.066500000000005,0.04033522012578617
9,56,39.2751,0.04675607142857143
11,54,33.02460000000001,0.04077111111111112
12,54,65.6255,0.08101913580246914
13,54,35.195100000000004,0.04345074074074074
14,54,49.61820000000002,0.06125703703703707
15,55,51.01190000000002,0.06183260606060608
16,55,37.01370000000001,0.044865090909090924
17,52,26.933600000000006,0.034530256410256414
18,54,45.86140000000002,0.05661901234567903
19,53,28.175700000000003,0.035441132075471705
20,55,37.304100000000005,0.045217090909090915
21,56,41.00200000000001,0.04881190476190477
23,52,27.508600000000005,0.0352674358974359
