excluded_hour,n,total_pnl,edge_per_contract
0,175,231.04840000000002,0.0880184380952381
1,172,235.39369999999997,0.09123786821705425
2,178,236.09140000000002,0.08842374531835206
3,177,237.00109999999998,0.08926595103578154
4,178,253.39710000000002,0.09490528089887641
5,178,236.3805,0.08853202247191011
6,178,238.39320000000004,0.08928584269662923
7,182,236.8896,0.08677274725274725
8,177,223.1523,0.08404983050847457
9,183,238.13890000000004,0.0867536976320583
10,180,230.49800000000005,0.08536962962962964
11,178,238.09949999999998,0.0891758426966292
12,179,258.38700000000006,0.09623351955307265
13,176,221.1891,0.08378375
14,174,240.90540000000001,0.09230091954022988
15,179,257.5279,0.09591355679702047
16,175,227.00000000000006,0.0864761904761905
17,177,219.26600000000002,0.08258606403013183
18,177,233.6746,0.08801303201506591
19,177,218.3974,0.08225890772128061
20,176,246.56590000000003,0.09339617424242426
21,177,216.0708,0.0813825988700565
22,181,232.04020000000003,0.08546600368324127
23,171,231.8311,0.09038249512670565
