delay,move_bucket,n,win_rate,mean_ask,edge_per_contract,mean_spread_change_c
1,<-3,1599,0.6128830519074422,0.6003702313946216,-0.0035971690639983334,0.7846779237023142
1,-3:-2,145,0.7655172413793103,0.7059310344827586,0.045187310344827605,0.6344827586206891
1,-2:-1,174,0.7413793103448276,0.7140804597701149,0.013134521072796945,0.4080459770114937
1,-1:0,13,0.7692307692307693,0.6946153846153845,0.059824615384615434,0.6153846153846049
1,0:1,213,0.6948356807511737,0.7272300469483568,-0.046143380281690134,0.38967136150234877
1,1:2,167,0.7425149700598802,0.737125748502994,-0.008050818363273446,0.2634730538922168
1,2:3,168,0.75,0.7466071428571428,-0.00972253968253967,0.44047619047619185
1,3:4,195,0.764102564102564,0.7590769230769231,-0.007640786324786325,0.37948717948718036
1,>=4,1489,0.8173270651443922,0.8173586299529886,-0.010289438101634215,-0.07676292813969064
2,<-3,1697,0.5645256334708308,0.5575609899823217,-0.009208544490276957,0.769063052445492
2,-3:-2,102,0.7843137254901961,0.6994117647058824,0.0703150980392157,0.6078431372549016
2,-2:-1,111,0.6486486486486487,0.7150450450450451,-0.08053909909909908,0.6936936936936927
2,-1:0,9,0.6666666666666666,0.6988888888888888,-0.04692444444444441,0.8888888888888785
2,0:1,125,0.8,0.72832,0.05798154666666668,0.472000000000001
2,1:2,138,0.7463768115942029,0.7360869565217392,-0.003170821256038637,0.5000000000000019
2,2:3,130,0.7692307692307693,0.7518461538461538,0.0044456410256410285,0.6230769230769241
2,3:4,152,0.8223684210526315,0.7625000000000001,0.04732763157894738,0.9868421052631596
2,>=4,1698,0.8533568904593639,0.8373468786808009,0.006715740086376124,-0.027679623085983315
3,<-3,1747,0.5512306811677161,0.5234384659416143,0.011819919862621637,0.6733257012020609
3,-3:-2,67,0.6119402985074627,0.7061194029850747,-0.108556815920398,0.8507462686567159
3,-2:-1,78,0.7051282051282052,0.7196153846153847,-0.028422735042735032,0.6025641025641024
3,-1:0,5,0.8,0.714,0.07176800000000003,1.7999999999999907
3,0:1,106,0.7735849056603774,0.7233962264150943,0.03630188679245284,0.5000000000000019
3,1:2,82,0.7560975609756098,0.7395121951219512,0.003205691056910576,0.5731707317073192
3,2:3,87,0.8045977011494253,0.7528735632183908,0.03885862068965518,0.5747126436781618
3,3:4,100,0.78,0.7737,-0.005801133333333328,0.8300000000000005
3,>=4,1890,0.8666666666666667,0.853610052910053,0.004586261022927687,0.05153439153439165
