horizon,model,split,c,n,log_loss,brier,auc,calibration_intercept,calibration_slope
13,market,train,10.0,19928,0.6277296245304448,0.2192698160108233,0.6994131727209715,-3.04838884209736e-05,1.0004570774159498
13,market,valid,10.0,9740,0.6245436036863483,0.21772489777145432,0.7067180938682056,0.058631759155809336,1.0710404550541335
13,market,test,10.0,8393,0.6347364777595678,0.22209684758297868,0.6911165685549691,0.05590776353020535,0.9798432821542571
13,blend,train,0.1,19928,0.6274292701281747,0.21918169925118702,0.6995168256202596,-2.600679014100343e-05,1.0023249848067646
13,blend,valid,0.1,9740,0.6248630141205894,0.21781554986367602,0.70649333843968,0.04708437340684282,1.0877235155084397
13,blend,test,0.1,8393,0.6345827200180183,0.22210558275326647,0.6910296770327305,0.04473379955955982,1.0028925906865958
13,full,train,0.01,19928,0.6263693495411646,0.21870942700303167,0.7011842863998488,-4.1964571866663636e-05,1.0143233720677542
13,full,valid,0.01,9740,0.6243002365571007,0.21754080812841353,0.7075519721366514,0.06392773122032722,1.0804272696383164
13,full,test,0.01,8393,0.6345606406325669,0.2222578821717174,0.6899994445757599,0.06080554266689921,0.9866159472530182
13,raw_mid,train,,19928,0.6282613078376827,0.21949817661079885,0.6988693111836294,-0.028648400525686235,1.021367598120544
13,physical,train,,19928,0.6436533221588431,0.2256574478633573,0.681838294825911,-0.005368024142394158,0.7747091810666599
13,raw_mid,valid,,9740,0.6240554465047342,0.21751640195071872,0.7071869791027837,0.027224924217709365,1.107824055390071
13,physical,valid,,9740,0.6374466199504029,0.2231023887106967,0.6903140677249814,0.05687984266626429,1.0113959647532609
13,raw_mid,test,,8393,0.633910422066044,0.2217558584236864,0.6920580353588295,0.023778556481239013,1.0127069145674594
13,physical,test,,8393,0.6506311532125595,0.22929789176409873,0.6676708222016585,0.07612973980498326,1.0181794656156662
12,market,train,10.0,19843,0.6003686393746798,0.20722418981193996,0.7370626467575891,6.693992958604065e-06,1.0002682216417509
12,market,valid,10.0,9642,0.6004951688151182,0.20719150081675128,0.7380243657980453,0.07373132220687485,1.0552571783086868
12,market,test,10.0,8296,0.6074361802287748,0.21012869129417844,0.7296916271391368,0.08244971694173783,1.0128158933303815
12,blend,train,10.0,19843,0.6002253365074116,0.20716140505599182,0.7372368679558517,1.0451460399104771e-05,1.0002624415142183
12,blend,valid,10.0,9642,0.6006861425591394,0.20725526570136102,0.7380677570631278,0.08240101130929889,1.0672509341496124
12,blend,test,10.0,8296,0.6077023599957604,0.21022763827312485,0.7296234130859375,0.09281929115809197,1.0330965663017033
12,full,train,1.0,19843,0.5989913439483104,0.20669214431737062,0.7383536765027983,1.582924626277924e-05,1.0005703107297894
12,full,valid,1.0,9642,0.5992801820912104,0.2066301700205035,0.7399887832396561,0.08924190010096272,1.0559368639768933
12,full,test,1.0,8296,0.6081639029933936,0.21047857483191623,0.728712681361607,0.09948351308539724,0.9966879683821844
12,raw_mid,train,,19843,0.6007510463167857,0.20737340059466816,0.7368465053462628,-0.03086015854672671,1.0310967313666526
12,physical,train,,19843,0.615933832611243,0.2128402383188033,0.723519948156959,-0.003900847697089387,0.8281147632983658
12,raw_mid,valid,,9642,0.6001270250008486,0.20701602066479985,0.7383459602560105,0.03993465861481101,1.093643018137725
12,physical,valid,,9642,0.6145811631336852,0.21284720858826567,0.7229452880678755,0.06749800548207653,1.0140028314442497
12,raw_mid,test,,8296,0.6064562345547453,0.20970255174180327,0.7306213960193452,0.0471730849373219,1.0531965069324671
12,physical,test,,8296,0.6242746292181166,0.2169693272819311,0.7115650867280506,0.09072914805574128,1.0679615067867225
10,market,train,10.0,19695,0.5509354090408476,0.18643937212033038,0.7907083440936997,-2.6418439957910655e-06,0.9999088124414841
