ticker,coin,close_ts,side,entry_bid,entry_ask,entry_spread,bid,ask,spread,vol,rise,widen,coin_order,won,utc,day,week,fee,pnl,edge_c
KXBTC15M-26MAY251900-00,BTC,1779750000,yes,0.65,0.66,0.010000000000000009,0.68,0.69,0.009999999999999898,30150.28,0.030000000000000027,-1.1102230246251565e-16,0,0,2026-05-25 23:00:00+00:00,2026-05-25,22,0.2246,-10.5746,-70.49733333333333
KXBTC15M-26MAY260200-00,BTC,1779775200,no,0.6699999999999999,0.6799999999999999,0.010000000000000009,0.73,0.74,0.010000000000000009,13599.92,0.06000000000000005,0.0,0,1,2026-05-26 06:00:00+00:00,2026-05-26,22,0.2021,3.6979,24.65266666666667
KXBTC15M-26MAY261000-00,BTC,1779804000,yes,0.69,0.7,0.010000000000000009,0.81,0.82,0.009999999999999898,44310.28,0.1200000000000001,-1.1102230246251565e-16,0,1,2026-05-26 14:00:00+00:00,2026-05-26,22,0.155,2.545000000000001,16.966666666666672
KXBTC15M-26MAY261200-00,BTC,1779811200,no,0.69,0.7,0.010000000000000009,0.73,0.74,0.010000000000000009,19997.23,0.040000000000000036,0.0,0,1,2026-05-26 16:00:00+00:00,2026-05-26,22,0.2021,3.6979,24.65266666666667
KXBTC15M-26MAY261900-00,BTC,1779836400,no,0.72,0.73,0.010000000000000009,0.8,0.81,0.010000000000000009,38494.14,0.08000000000000007,0.0,0,1,2026-05-26 23:00:00+00:00,2026-05-26,22,0.1616,2.6883999999999992,17.92266666666666
KXBTC15M-26MAY272000-00,BTC,1779926400,yes,0.71,0.73,0.020000000000000018,0.8,0.81,0.010000000000000009,20027.33,0.09000000000000008,-0.010000000000000009,0,1,2026-05-28 00:00:00+00:00,2026-05-28,22,0.1616,2.6883999999999992,17.92266666666666
KXBTC15M-26MAY281600-00,BTC,1779998400,yes,0.75,0.76,0.010000000000000009,0.77,0.78,0.010000000000000009,21698.32,0.020000000000000018,0.0,0,0,2026-05-28 20:00:00+00:00,2026-05-28,22,0.1802,-11.8802,-79.20133333333334
KXBTC15M-26MAY282300-00,BTC,1780023600,yes,0.67,0.68,0.010000000000000009,0.72,0.73,0.010000000000000009,28909.8,0.04999999999999993,0.0,0,0,2026-05-29 03:00:00+00:00,2026-05-29,22,0.207,-11.157,-74.38
KXBTC15M-26MAY291400-00,BTC,1780077600,no,0.79,0.8,0.010000000000000009,0.8200000000000001,0.83,0.009999999999999898,25987.17,0.030000000000000027,-1.1102230246251565e-16,0,1,2026-05-29 18:00:00+00:00,2026-05-29,22,0.1482,2.4018000000000006,16.012000000000004
KXBTC15M-26MAY291900-00,BTC,1780095600,yes,0.73,0.74,0.010000000000000009,0.81,0.82,0.009999999999999898,21404.82,0.08000000000000007,-1.1102230246251565e-16,0,1,2026-05-29 23:00:00+00:00,2026-05-29,22,0.155,2.545000000000001,16.966666666666672
KXBTC15M-26MAY300000-00,BTC,1780113600,yes,0.66,0.67,0.010000000000000009,0.75,0.76,0.010000000000000009,37840.39,0.08999999999999997,0.0,0,0,2026-05-30 04:00:00+00:00,2026-05-30,22,0.1916,-11.5916,-77.27733333333333
KXBTC15M-26MAY301000-00,BTC,1780149600,yes,0.69,0.7,0.010000000000000009,0.71,0.72,0.010000000000000009,21346.64,0.020000000000000018,0.0,0,1,2026-05-30 14:00:00+00:00,2026-05-30,22,0.2117,3.9883,26.588666666666665
KXBTC15M-26MAY301200-00,BTC,1780156800,yes,0.77,0.78,0.010000000000000009,0.83,0.84,0.010000000000000009,30874.94,0.05999999999999994,0.0,0,1,2026-05-30 16:00:00+00:00,2026-05-30,22,0.1412,2.2588000000000004,15.05866666666667
KXBTC15M-26MAY311100-00,BTC,1780239600,yes,0.66,0.67,0.010000000000000009,0.82,0.83,0.010000000000000009,34174.42,0.15999999999999992,0.0,0,0,2026-05-31 15:00:00+00:00,2026-05-31,22,0.1482,-12.598199999999999,-83.98799999999999
KXBTC15M-26JUN010700-00,BTC,1780311600,yes,0.73,0.74,0.010000000000000009,0.75,0.76,0.010000000000000009,8018.09,0.020000000000000018,0.0,0,1,2026-06-01 11:00:00+00:00,2026-06-01,23,0.1916,3.4083999999999994,22.72266666666666
KXBTC15M-26JUN012300-00,BTC,1780369200,yes,0.72,0.73,0.010000000000000009,0.81,0.82,0.009999999999999898,40136.68,0.09000000000000008,-1.1102230246251565e-16,0,1,2026-06-02 03:00:00+00:00,2026-06-02,23,0.155,2.545000000000001,16.966666666666672
KXBTC15M-26JUN020400-00,BTC,1780387200,no,0.6699999999999999,0.6799999999999999,0.010000000000000009,0.81,0.8200000000000001,0.010000000000000009,21528.82,0.14000000000000012,0.0,0,1,2026-06-02 08:00:00+00:00,2026-06-02,23,0.155,2.5449999999999995,16.96666666666666
KXBTC15M-26JUN021100-00,BTC,1780412400,yes,0.71,0.72,0.010000000000000009,0.81,0.82,0.009999999999999898,24682.64,0.10000000000000009,-1.1102230246251565e-16,0,1,2026-06-02 15:00:00+00:00,2026-06-02,23,0.155,2.545000000000001,16.966666666666672
KXBTC15M-26JUN021700-00,BTC,1780434000,yes,0.68,0.69,0.009999999999999898,0.71,0.72,0.010000000000000009,27602.35,0.029999999999999916,1.1102230246251565e-16,0,1,2026-06-02 21:00:00+00:00,2026-06-02,23,0.2117,3.9883,26.588666666666665
KXBTC15M-26JUN021900-00,BTC,1780441200,no,0.76,0.77,0.010000000000000009,0.79,0.8,0.010000000000000009,38419.59,0.030000000000000027,0.0,0,1,2026-06-02 23:00:00+00:00,2026-06-02,23,0.168,2.831999999999999,18.879999999999995
KXBTC15M-26JUN031700-00,BTC,1780520400,no,0.6699999999999999,0.6799999999999999,0.010000000000000009,0.72,0.73,0.010000000000000009,37819.54,0.050000000000000044,0.0,0,1,2026-06-03 21:00:00+00:00,2026-06-03,23,0.207,3.843000000000001,25.620000000000005
KXBTC15M-26JUN032100-00,BTC,1780534800,no,0.69,0.7,0.010000000000000009,0.78,0.79,0.010000000000000009,33414.06,0.09000000000000008,0.0,0,1,2026-06-04 01:00:00+00:00,2026-06-04,23,0.1742,2.9757999999999996,19.83866666666666
KXBTC15M-26JUN050000-00,BTC,1780632000,yes,0.69,0.7,0.010000000000000009,0.79,0.8,0.010000000000000009,37034.35,0.10000000000000009,0.0,0,1,2026-06-05 04:00:00+00:00,2026-06-05,23,0.168,2.831999999999999,18.879999999999995
KXBTC15M-26JUN050200-00,BTC,1780639200,no,0.6599999999999999,0.6699999999999999,0.010000000000000009,0.76,0.77,0.010000000000000009,49794.76,0.10000000000000009,0.0,0,1,2026-06-05 06:00:00+00:00,2026-06-05,23,0.186,3.264,21.759999999999998
KXBTC15M-26JUN051200-00,BTC,1780675200,no,0.65,0.6699999999999999,0.019999999999999907,0.7,0.71,0.010000000000000009,22159.64,0.04999999999999993,-0.009999999999999898,0,0,2026-06-05 16:00:00+00:00,2026-06-05,23,0.2162,-10.8662,-72.44133333333332
