policy,days,equity0,p_ruin,median_final,p_profit,p5,p95
CONTROL,30,400.0,0.5716,402.0342785747794,0.50215,-188.34393175207947,998.6733056213017
PTC,30,400.0,0.0,400.01084271341165,0.500175,334.6692685782074,466.23694866488165
CONTROL,90,400.0,0.738525,403.24367125841854,0.501825,-682.9749295790895,1487.9080507886677
PTC,90,400.0,0.0076,400.3494400811179,0.501825,283.1611106832817,515.5070911141032
CONTROL,180,400.0,0.798425,418.7983589090258,0.50695,-1223.4651695812436,2068.4031045446254
PTC,180,400.0,0.0579,400.57735568047406,0.502225,233.96329025187046,564.6920484190194
CONTROL,30,700.0,0.165775,701.8870767379121,0.502325,104.41770330902101,1295.031908261862
PTC,30,700.0,0.0,699.7873154651206,0.4982,633.7333001726925,766.0658869360853
CONTROL,90,700.0,0.418775,702.6916319494769,0.501975,-385.2229715259073,1801.218161634853
PTC,90,700.0,0.0,700.0186899628671,0.5001,586.2941088614679,815.2186607350186
CONTROL,180,700.0,0.55455,714.8444656853599,0.50665,-948.4447943406487,2352.891475927147
PTC,180,700.0,0.0,700.6018734620732,0.502375,535.1813101892817,865.4439339366771
CONTROL,30,1500.0,0.0004,1504.9840400467679,0.50605,906.892157172751,2107.9228651366893
PTC,30,1500.0,0.0,1500.0179849322549,0.500275,1433.8770347579284,1566.0138905281167
CONTROL,90,1500.0,0.0446,1503.4086878213666,0.5019,412.9314077343128,2596.813683152042
PTC,90,1500.0,0.0,1499.4667627845336,0.4973,1384.6433626055655,1615.1752574770871
CONTROL,180,1500.0,0.164425,1513.1364078375004,0.505725,-144.00497420826278,3180.136812156271
PTC,180,1500.0,0.0,1500.7365968730664,0.50285,1335.0409647916347,1665.0585993651205
